n,t
1,0.000001140
129,0.000000930
257,0.000001050
385,0.000001000
513,0.000001120
641,0.000001650
769,0.000001400
897,0.000029760
1025,0.000001720
1153,0.000001840
1281,0.000002000
1409,0.000003530
1537,0.000004390
1665,0.000004720
1793,0.000005050
1921,0.000005550
2049,0.000005690
2177,0.000006041
2305,0.000006870
2433,0.000007580
2561,0.000007021
2689,0.000007350
2817,0.000007610
2945,0.000007960
3073,0.000008281
3201,0.000008540
3329,0.000008900
3457,0.000009210
3585,0.000009590
3713,0.000009840
3841,0.000010200
3969,0.000010570
4097,0.000010850
4225,0.000011210
4353,0.000011480
4481,0.000011800
4609,0.000012130
4737,0.000026340
4865,0.000012801
4993,0.000013100
5121,0.000013410
5249,0.000013810
5377,0.000013981
5505,0.000014420
5633,0.000014770
5761,0.000018431
5889,0.000015350
6017,0.000015720
6145,0.000016010
6273,0.000016321
6401,0.000017060
6529,0.000028540
6657,0.000028890
6785,0.000039191
6913,0.000048811
7041,0.000043650
7169,0.000044370
7297,0.000045310
7425,0.000045880
7553,0.000046661
7681,0.000063540
7809,0.000048170
7937,0.000049021
8065,0.000049921
8193,0.000050870
8321,0.000051391
8449,0.000052350
8577,0.000052981
8705,0.000053801
8833,0.000054671
8961,0.000055401
9089,0.000056271
9217,0.000074961
9345,0.000065771
9473,0.000058590
9601,0.000059371
9729,0.000064471
9857,0.000064351
9985,0.000081141
10113,0.000062751
10241,0.000063301
10369,0.000080801
10497,0.000064761
10625,0.000065501
10753,0.000071061
10881,0.000051440
11009,0.000028370
11137,0.000039710
11265,0.000049921
11393,0.000058941
11521,0.000066101
11649,0.000051591
11777,0.000052161
11905,0.000052770
12033,0.000053280
12161,0.000053871
12289,0.000054401
12417,0.000054940
12545,0.000055511
12673,0.000056061
12801,0.000056640
12929,0.000057171
13057,0.000057730
13185,0.000058291
13313,0.000058840
13441,0.000059491
13569,0.000060010
13697,0.000060591
13825,0.000061150
13953,0.000067381
14081,0.000070471
14209,0.000062801
14337,0.000063371
14465,0.000063971
14593,0.000064451
14721,0.000065070
14849,0.000069081
14977,0.000066201
15105,0.000066731
15233,0.000067331
15361,0.000067861
15489,0.000068511
15617,0.000069041
15745,0.000069571
15873,0.000070660
16001,0.000092151
16129,0.000071251
16257,0.000071830
16385,0.000075811
16513,0.000072930
16641,0.000080551
16769,0.000043191
16897,0.000043381
17025,0.000043560
17153,0.000049960
17281,0.000044240
17409,0.000049141
17537,0.000077441
17665,0.000078011
17793,0.000078551
17921,0.000083331
18049,0.000097122
18177,0.000080301
18305,0.000093751
18433,0.000081390
18561,0.000085471
18689,0.000082511
18817,0.000088061
18945,0.000100131
19073,0.000048630
19201,0.000058691
19329,0.000088671
19457,0.000086011
19585,0.000086441
19713,0.000087061
19841,0.000109612
19969,0.000085181
20097,0.000092171
20225,0.000089241
20353,0.000089951
20481,0.000087981
20609,0.000088561
20737,0.000093121
20865,0.000092111
20993,0.000092731
21121,0.000093191
21249,0.000112201
21377,0.000094411
21505,0.000097591
21633,0.000095461
21761,0.000101601
21889,0.000295144
22017,0.000097391
22145,0.000105441
22273,0.000098311
22401,0.000099591
22529,0.000099452
22657,0.000099991
22785,0.000097911
22913,0.000101112
23041,0.000101721
23169,0.000102251
23297,0.000102821
23425,0.000106501
23553,0.000103941
23681,0.000108242
23809,0.000104862
23937,0.000109192
24065,0.000106231
24193,0.000106771
24321,0.000107392
24449,0.000141571
24577,0.000104941
24705,0.000109051
24833,0.000112352
24961,0.000110191
25089,0.000110741
25217,0.000111331
25345,0.000115102
25473,0.000112442
25601,0.000140362
25729,0.000113911
25857,0.000114271
25985,0.000093581
26113,0.000108841
26241,0.000125111
26369,0.000116482
26497,0.000116952
26625,0.000136532
26753,0.000118092
26881,0.000118762
27009,0.000119342
27137,0.000113751
27265,0.000148082
27393,0.000116811
27521,0.000121511
27649,0.000122031
27777,0.000122672
27905,0.000123662
28033,0.000123792
28161,0.000124331
28289,0.000124912
28417,0.000125472
28545,0.000147851
28673,0.000128232
28801,0.000127242
28929,0.000140141
29057,0.000128302
29185,0.000149462
29313,0.000136142
29441,0.000131311
29569,0.000137101
29697,0.000131141
29825,0.000131791
29953,0.000132351
30081,0.000147051
30209,0.000136831
30337,0.000142361
30465,0.000134641
30593,0.000143611
30721,0.000142062
30849,0.000136382
30977,0.000136962
31105,0.000137392
31233,0.000137952
31361,0.000138492
31489,0.000139002
31617,0.000139791
31745,0.000186492
31873,0.000144252
32001,0.000141312
32129,0.000141882
32257,0.000152692
32385,0.000187012
32513,0.000143562
32641,0.000144372
32769,0.000144831
32897,0.000151572
33025,0.000145902
33153,0.000146412
33281,0.000146882
33409,0.000150041
33537,0.000148112
33665,0.000148632
33793,0.000149221
33921,0.000153562
34049,0.000150372
34177,0.000150982
34305,0.000151502
34433,0.000162402
34561,0.000152672
34689,0.000153192
34817,0.000153812
34945,0.000157142
35073,0.000156482
35201,0.000155502
35329,0.000155871
35457,0.000156531
35585,0.000167912
35713,0.000160992
35841,0.000158222
35969,0.000158812
36097,0.000159342
36225,0.000199472
36353,0.000164972
36481,0.000161141
36609,0.000161582
36737,0.000162132
36865,0.000200122
36993,0.000166622
37121,0.000164402
37249,0.000167892
37377,0.000165102
37505,0.000222753
37633,0.000183422
37761,0.000166972
37889,0.000167322
38017,0.000171162
38145,0.000171482
38273,0.000169152
38401,0.000169592
38529,0.000192702
38657,0.000211522
38785,0.000175182
38913,0.000172072
39041,0.000172412
39169,0.000173162
39297,0.000173542
39425,0.000174012
39553,0.000174862
39681,0.000178852
39809,0.000179032
39937,0.000178862
40065,0.000177542
40193,0.000150252
40321,0.000117362
40449,0.000178622
40577,0.000179053
40705,0.000179792
40833,0.000180462
40961,0.000223023
41089,0.000186232
41217,0.000185922
41345,0.000187702
41473,0.000185952
41601,0.000183752
41729,0.000184282
41857,0.000184832
41985,0.000185823
42113,0.000186012
42241,0.000186842
42369,0.000186973
42497,0.000187782
42625,0.000195683
42753,0.000188782
42881,0.000181982
43009,0.000190092
43137,0.000145912
43265,0.000110261
43393,0.000110801
43521,0.000164592
43649,0.000210712
43777,0.000200403
43905,0.000211702
44033,0.000206282
44161,0.000203062
44289,0.000202853
44417,0.000209203
44545,0.000205162
44673,0.000253433
44801,0.000204743
44929,0.000221773
45057,0.000207713
45185,0.000207213
45313,0.000208872
45441,0.000224333
45569,0.000210283
45697,0.000225683
45825,0.000217813
45953,0.000236003
46081,0.000211662
46209,0.000263293
46337,0.000204653
46465,0.000214483
46593,0.000205693
46721,0.000247843
46849,0.000207032
46977,0.000207462
47105,0.000207703
47233,0.000208592
47361,0.000208982
47489,0.000209683
47617,0.000210092
47745,0.000216113
47873,0.000211332
48001,0.000212012
48129,0.000212592
48257,0.000220782
48385,0.000229962
48513,0.000222823
48641,0.000252493
48769,0.000269734
48897,0.000215712
49025,0.000219332
49153,0.000222142
49281,0.000217902
49409,0.000225693
49537,0.000138071
49665,0.000133991
49793,0.000160281
49921,0.000165472
50049,0.000234483
50177,0.000228662
50305,0.000222172
50433,0.000222722
50561,0.000227872
50689,0.000336694
50817,0.000136432
50945,0.000171772
51073,0.000225463
51201,0.000249703
51329,0.000227933
51457,0.000232143
51585,0.000248373
51713,0.000236283
51841,0.000256293
51969,0.000271053
52097,0.000229823
52225,0.000230572
52353,0.000239603
52481,0.000252122
52609,0.000232243
52737,0.000233213
52865,0.000233213
52993,0.000233942
53121,0.000251933
53249,0.000127992
53377,0.000136582
53505,0.000142471
53633,0.000236712
53761,0.000237262
53889,0.000246023
54017,0.000258883
54145,0.000239213
54273,0.000239893
54401,0.000240262
54529,0.000247313
54657,0.000269663
54785,0.000241953
54913,0.000251423
55041,0.000243082
55169,0.000253773
55297,0.000256393
55425,0.000244583
55553,0.000245293
55681,0.000246383
55809,0.000265503
55937,0.000247133
56065,0.000247453
56193,0.000252813
56321,0.000270963
56449,0.000249013
56577,0.000253883
56705,0.000269963
56833,0.000250993
56961,0.000251573
57089,0.000252183
57217,0.000261353
57345,0.000288523
57473,0.000253883
57601,0.000254293
57729,0.000276793
57857,0.000138532
57985,0.000147682
58113,0.000148832
58241,0.000150581
58369,0.000173732
58497,0.000259243
58625,0.000263633
58753,0.000278773
58881,0.000259803
59009,0.000268954
59137,0.000281113
59265,0.000262213
59393,0.000262243
59521,0.000262793
59649,0.000263203
59777,0.000264353
59905,0.000264313
60033,0.000150952
60161,0.000154622
60289,0.000153622
60417,0.000154182
60545,0.000179563
60673,0.000194493
60801,0.000268303
60929,0.000298983
61057,0.000270033
61185,0.000270403
61313,0.000308413
61441,0.000272123
61569,0.000282644
61697,0.000273554
61825,0.000272743
61953,0.000284683
62081,0.000274173
62209,0.000274553
62337,0.000289544
62465,0.000281023
62593,0.000297484
62721,0.000277253
62849,0.000288623
62977,0.000287173
63105,0.000286784
63233,0.000301103
63361,0.000282073
63489,0.000280114
63617,0.000280813
63745,0.000281334
63873,0.000329474
64001,0.000282423
64129,0.000290984
64257,0.000285533
64385,0.000285163
64513,0.000294243
64641,0.000292114
64769,0.000295974
64897,0.000286023
65025,0.000305144
65153,0.000287784
65281,0.000297183
65409,0.000292053
65537,0.000290493
65665,0.000306004
65793,0.000291564
65921,0.000291193
66049,0.000298434
66177,0.000298703
66305,0.000292493
66433,0.000300064
66561,0.000293613
66689,0.000344824
66817,0.000295373
66945,0.000305514
67073,0.000369084
67201,0.000320104
67329,0.000289193
67457,0.000304423
67585,0.000165862
67713,0.000173342
67841,0.000200013
67969,0.000205632
68097,0.000347504
68225,0.000317213
68353,0.000301794
68481,0.000302254
68609,0.000308824
68737,0.000304003
68865,0.000318864
68993,0.000304753
69121,0.000308163
69249,0.000305723
69377,0.000359694
69505,0.000307234
69633,0.000324864
69761,0.000313904
69889,0.000310044
70017,0.000327774
70145,0.000316014
70273,0.000311364
70401,0.000363715
70529,0.000311324
70657,0.000376005
70785,0.000312274
70913,0.000312984
71041,0.000322113
71169,0.000569917
71297,0.000336564
71425,0.000322854
71553,0.000315683
71681,0.000320014
71809,0.000318934
71937,0.000354574
72065,0.000320873
72193,0.000323584
72321,0.000322204
72449,0.000319554
72577,0.000178612
72705,0.000226382
72833,0.000321684
72961,0.000328574
73089,0.000322564
73217,0.000366314
73345,0.000329103
73473,0.000327294
73601,0.000330124
73729,0.000326804
73857,0.000326394
73985,0.000331614
74113,0.000327234
74241,0.000330704
74369,0.000336064
74497,0.000331063
74625,0.000329504
74753,0.000372524
74881,0.000334894
75009,0.000332404
75137,0.000191412
75265,0.000192993
75393,0.000238403
75521,0.000335334
75649,0.000333854
75777,0.000345194
75905,0.000334954
76033,0.000335684
76161,0.000349974
76289,0.000336534
76417,0.000339154
76545,0.000341985
76673,0.000346154
76801,0.000449735
76929,0.000339314
77057,0.000389114
77185,0.000344024
77313,0.000340964
77441,0.000341694
77569,0.000345564
77697,0.000202853
77825,0.000200892
77953,0.000212353
78081,0.000213732
78209,0.000242093
78337,0.000348184
78465,0.000347864
78593,0.000347054
78721,0.000375355
78849,0.000358554
78977,0.000352124
79105,0.000349784
79233,0.000350114
79361,0.000355124
79489,0.000364495
79617,0.000353344
79745,0.000351935
79873,0.000357124
80001,0.000359395
80129,0.000399695
80257,0.000359414
80385,0.000354584
80513,0.000356515
80641,0.000365314
80769,0.000359994
80897,0.000387294
81025,0.000358485
81153,0.000414665
81281,0.000557326
81409,0.000366715
81537,0.000363895
81665,0.000229923
81793,0.000357474
81921,0.000212932
82049,0.000211382
82177,0.000226762
82305,0.000394334
82433,0.000413015
82561,0.000221193
82689,0.000226052
82817,0.000220093
82945,0.000217072
83073,0.000225392
83201,0.000261303
83329,0.000370695
83457,0.000368555
83585,0.000407365
83713,0.000217573
83841,0.000218622
83969,0.000224053
84097,0.000373124
84225,0.000229473
84353,0.000218093
84481,0.000242963
84609,0.000240663
84737,0.000225723
84865,0.000221343
84993,0.000253243
85121,0.000259093
85249,0.000380385
85377,0.000378035
85505,0.000377144
85633,0.000379504
85761,0.000379034
85889,0.000390284
86017,0.000240413
86145,0.000234393
86273,0.000234953
86401,0.000230113
86529,0.000268023
86657,0.000443905
86785,0.000423615
86913,0.000393345
87041,0.000406974
87169,0.000406395
87297,0.000392865
87425,0.000392045
87553,0.000387905
87681,0.000395195
87809,0.000387584
87937,0.000387965
88065,0.000388854
88193,0.000389464
88321,0.000394734
88449,0.000393804
88577,0.000394714
88705,0.000401725
88833,0.000394055
88961,0.000392515
89089,0.000394795
89217,0.000398845
89345,0.000396205
89473,0.000395935
89601,0.000401505
89729,0.000395835
89857,0.000396584
89985,0.000397094
90113,0.000411795
90241,0.000398704
90369,0.000425485
90497,0.000409155
90625,0.000429095
90753,0.000440395
90881,0.000423175
91009,0.000475585
91137,0.000448485
91265,0.000459776
91393,0.000455135
91521,0.000404125
91649,0.000404184
91777,0.000413935
91905,0.000405425
92033,0.000410635
92161,0.000406745
92289,0.000411935
92417,0.000513947
92545,0.000449185
92673,0.000448485
92801,0.000452845
92929,0.000466696
93057,0.000416335
93185,0.000416215
93313,0.000412485
93441,0.000479226
93569,0.000426405
93697,0.000423835
93825,0.000429455
93953,0.000411605
94081,0.000440485
94209,0.000474336
94337,0.000421155
94465,0.000422045
94593,0.000417475
94721,0.000422415
94849,0.000476505
94977,0.000425975
95105,0.000436795
95233,0.000423295
95361,0.000426846
95489,0.000443795
95617,0.000423725
95745,0.000441135
95873,0.000461865
96001,0.000439115
96129,0.000431315
96257,0.000425345
96385,0.000426115
96513,0.000472926
96641,0.000443395
96769,0.000435655
96897,0.000437295
97025,0.000427955
97153,0.000495056
97281,0.000453025
97409,0.000546517
97537,0.000268494
97665,0.000249573
97793,0.000278143
97921,0.000292694
98049,0.000459515
98177,0.000432785
98305,0.000438526
98433,0.000489875
98561,0.000487826
98689,0.000435435
98817,0.000436235
98945,0.000445655
99073,0.000457125
99201,0.000493065
99329,0.000438346
99457,0.000444605
99585,0.000448286
99713,0.000447515
99841,0.000440246
99969,0.000465266
100097,0.000484755
100225,0.000487206
100353,0.000444105
100481,0.000443525
100609,0.000454775
100737,0.000515676
100865,0.000445145
100993,0.000445325
101121,0.000483245
101249,0.000555077
101377,0.000449005
101505,0.000459625
101633,0.000456305
101761,0.000451116
101889,0.000449715
102017,0.000468635
102145,0.000478935
102273,0.000451396
102401,0.000456775
102529,0.000461066
102657,0.000452955
102785,0.000453436
102913,0.000483576
103041,0.000468045
103169,0.000506796
103297,0.000467785
103425,0.000465675
103553,0.000459486
103681,0.000459575
103809,0.000488076
103937,0.000513616
104065,0.000562927
104193,0.000472116
104321,0.000463456
104449,0.000480415
104577,0.000527896
104705,0.000462905
104833,0.000468745
104961,0.000611677
105089,0.000478725
105217,0.000544986
105345,0.000465445
105473,0.000477636
105601,0.000474146
105729,0.000468936
105857,0.000577917
105985,0.000467466
106113,0.000474815
106241,0.000506766
106369,0.000469996
106497,0.000504286
106625,0.000470395
106753,0.000395065
106881,0.000287263
107009,0.000299283
107137,0.000330944
107265,0.000456376
107393,0.000519416
107521,0.000482436
107649,0.000479135
107777,0.000485806
107905,0.000476455
108033,0.000574257
108161,0.000487246
108289,0.000491926
108417,0.000491176
108545,0.000612688
108673,0.000489026
108801,0.000499616
108929,0.000487666
109057,0.000481576
109185,0.000519626
109313,0.000492746
109441,0.000319654
109569,0.000287293
109697,0.000459946
109825,0.000506446
109953,0.000494276
110081,0.000494066
110209,0.000540496
110337,0.000324104
110465,0.000360564
110593,0.000281773
110721,0.000266923
110849,0.000327044
110977,0.000498776
111105,0.000482265
111233,0.000341324
111361,0.000283973
111489,0.000481906
111617,0.000546756
111745,0.000493636
111873,0.000338674
112001,0.000291493
112129,0.000375744
112257,0.000297183
112385,0.000287453
112513,0.000287903
112641,0.000333713
112769,0.000287184
112897,0.000287223
113025,0.000290343
113153,0.000332884
113281,0.000306454
113409,0.000299863
113537,0.000293174
113665,0.000304903
113793,0.000293834
113921,0.000290223
114049,0.000354454
114177,0.000300863
114305,0.000330323
114433,0.000310034
114561,0.000314943
114689,0.000530436
114817,0.000432885
114945,0.000311674
115073,0.000297493
115201,0.000297294
115329,0.000298783
115457,0.000303464
115585,0.000347814
115713,0.000298934
115841,0.000323064
115969,0.000298913
116097,0.000300443
116225,0.000282793
116353,0.000321754
116481,0.000337534
116609,0.000315944
116737,0.000300463
116865,0.000299383
116993,0.000333524
117121,0.000298593
117249,0.000308114
117377,0.000308114
117505,0.000376054
117633,0.000346054
