n,t
1,0.000005800
129,0.000001330
257,0.000001540
385,0.000001770
513,0.000001980
641,0.000002230
769,0.000002400
897,0.000003140
1025,0.000005410
1153,0.000005980
1281,0.000006500
1409,0.000007040
1537,0.000007680
1665,0.000008180
1793,0.000008771
1921,0.000009390
2049,0.000009820
2177,0.000010430
2305,0.000010920
2433,0.000011560
2561,0.000012070
2689,0.000012610
2817,0.000013160
2945,0.000013841
3073,0.000014320
3201,0.000014810
3329,0.000015361
3457,0.000016040
3585,0.000016500
3713,0.000017130
3841,0.000017720
3969,0.000018130
4097,0.000022390
4225,0.000018771
4353,0.000019390
4481,0.000019930
4609,0.000020410
4737,0.000020851
4865,0.000021411
4993,0.000022041
5121,0.000022481
5249,0.000023191
5377,0.000023700
5505,0.000024190
5633,0.000024750
5761,0.000028830
5889,0.000025791
6017,0.000026260
6145,0.000026910
6273,0.000027470
6401,0.000028030
6529,0.000028550
6657,0.000029071
6785,0.000031440
6913,0.000031020
7041,0.000031441
7169,0.000032091
7297,0.000032701
7425,0.000033491
7553,0.000033881
7681,0.000034481
7809,0.000039431
7937,0.000041631
8065,0.000034991
8193,0.000035541
8321,0.000036090
8449,0.000036640
8577,0.000037111
8705,0.000037700
8833,0.000038341
8961,0.000038760
9089,0.000039411
9217,0.000039860
9345,0.000040561
9473,0.000040991
9601,0.000035721
9729,0.000039800
9857,0.000032040
9985,0.000029681
10113,0.000029970
10241,0.000030430
10369,0.000030871
10497,0.000031211
10625,0.000031560
10753,0.000031920
10881,0.000032310
11009,0.000032670
11137,0.000033040
11265,0.000033450
11393,0.000033820
11521,0.000034370
11649,0.000037280
11777,0.000037841
11905,0.000038500
12033,0.000033880
12161,0.000036000
12289,0.000029090
12417,0.000029430
12545,0.000029721
12673,0.000030020
12801,0.000030350
12929,0.000030671
13057,0.000030891
13185,0.000031280
13313,0.000031470
13441,0.000031840
13569,0.000032160
13697,0.000032320
13825,0.000032711
13953,0.000035221
14081,0.000033391
14209,0.000033681
14337,0.000033871
14465,0.000036920
14593,0.000037190
14721,0.000037561
14849,0.000037800
14977,0.000038281
15105,0.000038520
15233,0.000038971
15361,0.000039550
15489,0.000045720
15617,0.000039861
15745,0.000040150
15873,0.000047080
16001,0.000037930
16129,0.000038301
16257,0.000038860
16385,0.000039191
16513,0.000039520
16641,0.000042481
16769,0.000042841
16897,0.000043191
17025,0.000043451
17153,0.000047630
17281,0.000044170
17409,0.000044420
17537,0.000044740
17665,0.000045020
17793,0.000053171
17921,0.000045731
18049,0.000048321
18177,0.000054530
18305,0.000046701
18433,0.000046981
18561,0.000047351
18689,0.000047600
18817,0.000056520
18945,0.000045490
19073,0.000045840
19201,0.000046170
19329,0.000046460
19457,0.000046620
19585,0.000047391
19713,0.000050261
19841,0.000050581
19969,0.000050910
20097,0.000051431
20225,0.000061101
20353,0.000049291
20481,0.000049581
20609,0.000049850
20737,0.000050091
20865,0.000050510
20993,0.000050771
21121,0.000051211
21249,0.000051380
21377,0.000051691
21505,0.000052030
21633,0.000052380
21761,0.000052611
21889,0.000055801
22017,0.000056181
22145,0.000058871
22273,0.000056811
22401,0.000067781
22529,0.000054471
22657,0.000054741
22785,0.000055031
22913,0.000055441
23041,0.000055631
23169,0.000056051
23297,0.000056261
23425,0.000056711
23553,0.000060681
23681,0.000060390
23809,0.000061061
23937,0.000057821
24065,0.000061381
24193,0.000061661
24321,0.000061931
24449,0.000059150
24577,0.000059451
24705,0.000059470
24833,0.000059631
24961,0.000060171
25089,0.000060350
25217,0.000064531
25345,0.000064761
25473,0.000078141
25601,0.000061661
25729,0.000061820
25857,0.000062171
25985,0.000066411
26113,0.000066621
26241,0.000088211
26369,0.000062930
26497,0.000067551
26625,0.000067860
26753,0.000068310
26881,0.000068631
27009,0.000064510
27137,0.000064971
27265,0.000065161
27393,0.000085751
27521,0.000065271
27649,0.000070481
27777,0.000070970
27905,0.000082791
28033,0.000071381
28161,0.000071851
28289,0.000072091
28417,0.000072500
28545,0.000083521
28673,0.000068191
28801,0.000068351
28929,0.000068851
29057,0.000074071
29185,0.000074611
29313,0.000074891
29441,0.000075161
29569,0.000070310
29697,0.000071011
29825,0.000076171
29953,0.000076431
30081,0.000076871
30209,0.000077081
30337,0.000076001
30465,0.000071681
30593,0.000078021
30721,0.000091701
30849,0.000078761
30977,0.000098211
31105,0.000074191
31233,0.000074471
31361,0.000074871
31489,0.000075271
31617,0.000079701
31745,0.000075851
31873,0.000076141
32001,0.000076321
32129,0.000081891
32257,0.000082241
32385,0.000082551
32513,0.000082980
32641,0.000083151
32769,0.000083461
32897,0.000078561
33025,0.000078980
33153,0.000079220
33281,0.000079391
33409,0.000079851
33537,0.000085451
33665,0.000085931
33793,0.000087691
33921,0.000080941
34049,0.000081321
34177,0.000081671
34305,0.000087381
34433,0.000108162
34561,0.000082481
34689,0.000082841
34817,0.000083301
34945,0.000089101
35073,0.000089541
35201,0.000111732
35329,0.000084151
35457,0.000084851
35585,0.000084881
35713,0.000085231
35841,0.000085570
35969,0.000085711
36097,0.000085521
36225,0.000092441
36353,0.000093502
36481,0.000112061
36609,0.000093391
36737,0.000093711
36865,0.000094032
36993,0.000101541
37121,0.000088171
37249,0.000095321
37377,0.000110921
37505,0.000101682
37633,0.000097151
37761,0.000090171
37889,0.000094652
38017,0.000097431
38145,0.000097151
38273,0.000091431
38401,0.000092191
38529,0.000100741
38657,0.000099091
38785,0.000093181
38913,0.000093572
39041,0.000093901
39169,0.000094051
39297,0.000100031
39425,0.000100361
39553,0.000101271
39681,0.000095251
39809,0.000101271
39937,0.000101791
40065,0.000121332
40193,0.000096781
40321,0.000096872
40449,0.000097121
40577,0.000100761
40705,0.000097661
40833,0.000098232
40961,0.000104462
41089,0.000104811
41217,0.000122412
41345,0.000105371
41473,0.000099731
41601,0.000106031
41729,0.000108872
41857,0.000100532
41985,0.000110852
42113,0.000107331
42241,0.000107782
42369,0.000101092
42497,0.000108162
42625,0.000129682
42753,0.000101991
42881,0.000102281
43009,0.000102762
43137,0.000109331
43265,0.000110952
43393,0.000129222
43521,0.000111121
43649,0.000111131
43777,0.000111741
43905,0.000104301
44033,0.000112142
44161,0.000112442
44289,0.000112821
44417,0.000128811
44545,0.000123002
44673,0.000113982
44801,0.000114081
44929,0.000114991
45057,0.000114862
45185,0.000115161
45313,0.000117271
45441,0.000133451
45569,0.000116242
45697,0.000126201
45825,0.000116661
45953,0.000117791
46081,0.000118991
46209,0.000117742
46337,0.000110491
46465,0.000110871
46593,0.000118741
46721,0.000142221
46849,0.000111761
46977,0.000112041
47105,0.000120181
47233,0.000121381
47361,0.000114141
47489,0.000113471
47617,0.000113611
47745,0.000121642
47873,0.000121932
48001,0.000145341
48129,0.000122341
48257,0.000126391
48385,0.000144152
48513,0.000115482
48641,0.000145032
48769,0.000116402
48897,0.000116611
49025,0.000122952
49153,0.000125151
49281,0.000117532
49409,0.000127022
49537,0.000126401
49665,0.000119332
49793,0.000119662
49921,0.000127222
50049,0.000128722
50177,0.000119891
50305,0.000121172
50433,0.000164862
50561,0.000119521
50689,0.000120872
50817,0.000124712
50945,0.000129811
51073,0.000121691
51201,0.000122061
51329,0.000122291
51457,0.000131061
51585,0.000131542
51713,0.000131612
51841,0.000132831
51969,0.000132681
52097,0.000124522
52225,0.000124932
52353,0.000124861
52481,0.000133812
52609,0.000134042
52737,0.000134522
52865,0.000126552
52993,0.000126341
53121,0.000127012
53249,0.000127042
53377,0.000126542
53505,0.000136382
53633,0.000136771
53761,0.000127462
53889,0.000127921
54017,0.000137631
54145,0.000128282
54273,0.000129522
54401,0.000138851
54529,0.000139602
54657,0.000134072
54785,0.000163042
54913,0.000142792
55041,0.000140002
55169,0.000141682
55297,0.000141331
55425,0.000141491
55553,0.000141922
55681,0.000133622
55809,0.000133992
55937,0.000134122
56065,0.000143422
56193,0.000152791
56321,0.000138362
56449,0.000162821
56577,0.000135981
56705,0.000136241
56833,0.000144922
56961,0.000136812
57089,0.000137042
57217,0.000136531
57345,0.000136861
57473,0.000256883
57601,0.000254813
57729,0.000255183
57857,0.000240513
57985,0.000240902
58113,0.000299003
58241,0.000242002
58369,0.000257773
58497,0.000258153
58625,0.000303364
58753,0.000242812
58881,0.000259933
59009,0.000283023
59137,0.000260833
59265,0.000261603
59393,0.000262133
59521,0.000247453
59649,0.000248073
59777,0.000263663
59905,0.000264503
60033,0.000249503
60161,0.000250233
60289,0.000250903
60417,0.000251413
60545,0.000272223
60673,0.000266923
60801,0.000253103
60929,0.000254042
61057,0.000301454
61185,0.000270333
61313,0.000256693
61441,0.000255583
61569,0.000256333
61697,0.000258373
61825,0.000268363
61953,0.000327604
62081,0.000257083
62209,0.000257403
62337,0.000310693
62465,0.000275733
62593,0.000277124
62721,0.000329424
62849,0.000259723
62977,0.000260133
63105,0.000332094
63233,0.000278783
63361,0.000299603
63489,0.000264223
63617,0.000264503
63745,0.000264973
63873,0.000281673
64001,0.000266554
64129,0.000267113
64257,0.000267213
64385,0.000267583
64513,0.000266533
64641,0.000285203
64769,0.000267583
64897,0.000268783
65025,0.000272583
65153,0.000271773
65281,0.000301454
65409,0.000269083
65537,0.000269623
65665,0.000269893
65793,0.000290713
65921,0.000291203
66049,0.000344024
66177,0.000273364
66305,0.000274163
66433,0.000284653
66561,0.000293804
66689,0.000315634
66817,0.000277983
66945,0.000278523
67073,0.000288043
67201,0.000298894
67329,0.000294054
67457,0.000297524
67585,0.000281114
67713,0.000298424
67841,0.000311564
67969,0.000282603
68097,0.000300533
68225,0.000321694
68353,0.000301963
68481,0.000357154
68609,0.000283523
68737,0.000284173
68865,0.000285243
68993,0.000304293
69121,0.000310433
69249,0.000284373
69377,0.000286624
69505,0.000290323
69633,0.000312203
69761,0.000285093
69889,0.000351934
70017,0.000309044
70145,0.000309484
70273,0.000310124
70401,0.000353314
70529,0.000298924
70657,0.000179382
70785,0.000164522
70913,0.000174502
71041,0.000175062
71169,0.000177602
71297,0.000182232
71425,0.000181702
71553,0.000201932
71681,0.000406695
71809,0.000442235
71937,0.000431575
72065,0.000444785
72193,0.000431445
72321,0.000443815
72449,0.000445335
72577,0.000449645
72705,0.000464986
72833,0.000431715
72961,0.000505925
73089,0.000451145
73217,0.000427555
73345,0.000428325
73473,0.000425764
73601,0.000447746
73729,0.000454056
73857,0.000462135
73985,0.000422885
74113,0.000331643
74241,0.000404384
74369,0.000458355
74497,0.000466986
74625,0.000466856
74753,0.000330124
74881,0.000419194
75009,0.000440425
75137,0.000460095
75265,0.000441515
75393,0.000446565
75521,0.000448695
75649,0.000465795
75777,0.000466865
75905,0.000318874
76033,0.000345564
76161,0.000469856
76289,0.000509086
76417,0.000456095
76545,0.000452155
76673,0.000454925
76801,0.000530116
76929,0.000483855
77057,0.000453335
77185,0.000450375
77313,0.000541507
77441,0.000306453
77569,0.000413824
77697,0.000451585
77825,0.000500526
77953,0.000448015
78081,0.000481005
78209,0.000471426
