n,t
1,0.000000220
129,0.000007900
257,0.000015760
385,0.000024640
513,0.000029350
641,0.000034460
769,0.000043091
897,0.000053901
1025,0.000063350
1153,0.000074980
1281,0.000086140
1409,0.000092661
1537,0.000100731
1665,0.000110901
1793,0.000121381
1921,0.000130831
2049,0.000140171
2177,0.000150291
2305,0.000187932
2433,0.000173361
2561,0.000169552
2689,0.000190392
2817,0.000201572
2945,0.000218232
3073,0.000221982
3201,0.000234423
3329,0.000271203
3457,0.000237362
3585,0.000245993
3713,0.000255783
3841,0.000265312
3969,0.000275982
4097,0.000285383
4225,0.000295442
4353,0.000321663
4481,0.000343023
4609,0.000357704
4737,0.000359623
4865,0.000370393
4993,0.000406884
5121,0.000365674
5249,0.000374563
5377,0.000385224
5505,0.000425044
5633,0.000436214
5761,0.000447444
5889,0.000457264
6017,0.000468354
6145,0.000481524
6273,0.000499095
6401,0.000530025
6529,0.000550905
6657,0.000485965
6785,0.000499404
6913,0.000509904
7041,0.000520014
7169,0.000535175
7297,0.000539555
7425,0.000550216
7553,0.000561825
7681,0.000594325
7809,0.000639056
7937,0.000614495
8065,0.000648516
8193,0.000659986
8321,0.000672427
8449,0.000683787
8577,0.000697066
8705,0.000713767
8833,0.000721956
8961,0.000730107
9089,0.000749957
9217,0.000754577
9345,0.000767677
9473,0.000778157
9601,0.000798687
9729,0.000817238
9857,0.000814838
9985,0.000827167
10113,0.000866269
10241,0.000851018
10369,0.000862788
10497,0.000874938
10625,0.000904259
10753,0.000897638
10881,0.000912339
11009,0.000928709
11137,0.000936299
11265,0.000981629
11393,0.000994300
11521,0.000978269
11649,0.000982529
11777,0.000996160
11905,0.001027670
12033,0.001073360
12161,0.001189991
12289,0.001056150
12417,0.001057071
12545,0.001070991
12673,0.001106431
12801,0.001092040
12929,0.001119960
13057,0.001189521
13185,0.001157511
13313,0.001193461
13441,0.001154581
13569,0.001179621
13697,0.001202301
13825,0.001219572
13953,0.001267642
14081,0.001228512
14209,0.001242022
14337,0.001274852
14465,0.001291253
14593,0.001276692
14721,0.001284032
14849,0.001349493
14977,0.001337923
15105,0.001337983
15233,0.001336823
15361,0.001427913
15489,0.001358213
15617,0.001414004
15745,0.001385763
15873,0.001414704
16001,0.001438743
16129,0.001422893
16257,0.001451784
16385,0.001469024
16513,0.001480455
16641,0.001476474
16769,0.001522654
16897,0.001512665
17025,0.001516184
17153,0.001518994
17281,0.001555764
17409,0.001552905
17537,0.001603695
17665,0.001602856
17793,0.001608265
17921,0.001594675
18049,0.001655806
18177,0.001626876
18305,0.001676356
18433,0.001660066
18561,0.001691026
18689,0.001702716
18817,0.001697626
18945,0.001733096
19073,0.001715076
19201,0.001733607
19329,0.001746757
19457,0.001767987
19585,0.001775686
19713,0.001825448
19841,0.001790307
19969,0.001808858
20097,0.001849437
20225,0.001832107
20353,0.001854507
20481,0.001907578
20609,0.001869008
20737,0.001897108
20865,0.001906938
20993,0.001917888
21121,0.001922938
21249,0.001950709
21377,0.001978188
21505,0.001998539
21633,0.001978119
21761,0.002008829
21889,0.002031659
22017,0.002038649
22145,0.002063289
22273,0.002082579
22401,0.002062230
22529,0.002114760
22657,0.002082050
22785,0.002116580
22913,0.002281201
23041,0.002182111
23169,0.002177630
23297,0.003621745
23425,0.003040169
23553,0.002330232
23681,0.002193950
23809,0.002207091
23937,0.002216291
24065,0.002241681
24193,0.002331602
24321,0.002275631
24449,0.002293801
24577,0.002333871
24705,0.002348303
24833,0.002353402
24961,0.002347563
25089,0.002391072
25217,0.002386763
25345,0.002432653
25473,0.002407383
25601,0.002468523
25729,0.002453574
25857,0.002412333
25985,0.002426663
26113,0.002451134
26241,0.002496253
26369,0.002473803
26497,0.002481733
26625,0.002500054
26753,0.002513144
26881,0.002520264
27009,0.002536824
27137,0.002554724
27265,0.002569585
27393,0.002586094
27521,0.002592114
27649,0.002604165
27777,0.002624675
27905,0.002635465
28033,0.002650745
28161,0.002662235
28289,0.002674335
28417,0.002710295
28545,0.002690165
28673,0.002762436
28801,0.002782327
28929,0.002788306
29057,0.002795547
29185,0.002805307
29313,0.002842867
29441,0.002800196
29569,0.002822746
29697,0.002870787
29825,0.002857877
29953,0.002853347
30081,0.002909498
30209,0.002881168
30337,0.002895698
30465,0.002909177
30593,0.002955688
30721,0.002937798
30849,0.003032699
30977,0.002979568
31105,0.002970638
31233,0.002988239
31361,0.003070209
31489,0.003074160
31617,0.003079459
31745,0.003061219
31873,0.003079999
32001,0.003146289
32129,0.003092949
32257,0.003124150
32385,0.003114410
32513,0.003160340
32641,0.003169200
32769,0.003154330
32897,0.003165120
33025,0.003182040
33153,0.003196090
33281,0.003210291
33409,0.003216080
33537,0.003233390
33665,0.003244361
33793,0.003260071
33921,0.003276991
34049,0.003290361
34177,0.003301901
34305,0.003326461
34433,0.003329401
34561,0.003348092
34689,0.003378982
34817,0.003411842
34945,0.003509393
35073,0.003534113
35201,0.003461773
35329,0.003391463
35457,0.003401782
35585,0.003378542
35713,0.003501633
35841,0.003415962
35969,0.003590104
36097,0.003463223
36225,0.003537154
36353,0.003556634
36481,0.003566784
36609,0.003653224
36737,0.003572414
36865,0.003522044
36993,0.003631274
37121,0.003671155
37249,0.003611214
37377,0.003749896
37505,0.003419063
37633,0.003709695
37761,0.003584053
37889,0.003818686
38017,0.003709785
38145,0.003751996
38273,0.003665705
38401,0.003714225
38529,0.003838767
38657,0.003821277
38785,0.003835486
38913,0.003830496
39041,0.003873467
39169,0.003869777
39297,0.003822356
39425,0.003890947
39553,0.003891777
39681,0.003911397
39809,0.003933187
39937,0.003942377
40065,0.003959177
40193,0.003966388
40321,0.003983848
40449,0.003999438
40577,0.004032509
40705,0.004032128
40833,0.004044808
40961,0.004234250
41089,0.004075798
41217,0.004082209
41345,0.004105949
41473,0.004114039
41601,0.004242260
41729,0.004172560
41857,0.004150869
41985,0.004173610
42113,0.004331941
42241,0.004192109
42369,0.004218951
42497,0.004254430
42625,0.004409401
42753,0.004257881
42881,0.004296461
43009,0.004358221
43137,0.004309030
43265,0.004311631
43393,0.004460462
43521,0.004337251
43649,0.004362212
43777,0.004419922
43905,0.004380182
44033,0.004401741
44161,0.004418272
44289,0.004430082
44417,0.004445372
44545,0.004454412
44673,0.004470902
44801,0.004487492
44929,0.004528103
45057,0.004533843
45185,0.004592173
45313,0.004613394
45441,0.004566023
45569,0.004686245
45697,0.004567004
45825,0.004545924
45953,0.004563903
46081,0.004722704
46209,0.004723695
46337,0.004661974
46465,0.004738855
46593,0.004763555
46721,0.004828206
46849,0.004848646
46977,0.004748865
47105,0.004787505
47233,0.004901017
47361,0.004739645
47489,0.004520643
47617,0.004741755
47745,0.004663105
47873,0.004745045
48001,0.004622534
48129,0.004916076
48257,0.004832376
48385,0.005008638
48513,0.005012887
48641,0.004976097
48769,0.005020387
48897,0.004891475
49025,0.004936487
49153,0.004753685
49281,0.004966117
49409,0.004916686
49537,0.005144028
49665,0.004895257
49793,0.005135859
49921,0.004916737
50049,0.005079458
50177,0.004931826
50305,0.005158419
50433,0.005168499
50561,0.005252900
50689,0.005235410
50817,0.005261869
50945,0.005217869
51073,0.005453841
51201,0.005231390
51329,0.005429201
51457,0.005343480
51585,0.005420301
51713,0.005354971
51841,0.005324551
51969,0.005435392
52097,0.005407151
52225,0.005433011
52353,0.005491482
52481,0.005400561
52609,0.005447672
52737,0.005449282
52865,0.005476072
52993,0.005517333
53121,0.005504282
53249,0.005523283
53377,0.005556613
53505,0.005532383
