n,t
1,0.000000110
33,0.000004690
65,0.000014890
97,0.000028300
129,0.000048031
161,0.000072601
193,0.000107561
225,0.000145302
257,0.000186872
289,0.000221662
321,0.000303383
353,0.000372214
385,0.000415384
417,0.000471945
449,0.000568016
481,0.000659327
513,0.000752658
545,0.000864140
577,0.000962761
609,0.001045251
641,0.001315214
673,0.001467846
705,0.001398515
737,0.001505666
769,0.001357695
801,0.001277064
833,0.001438106
865,0.001361905
897,0.001301755
929,0.001431946
961,0.001522487
993,0.001628308
1025,0.001739999
1057,0.001858221
1089,0.001968762
1121,0.002155054
1153,0.002197474
1185,0.002300236
1217,0.002414987
1249,0.002607259
1281,0.002712800
1313,0.002837582
1345,0.002969462
1377,0.003133884
1409,0.003251925
1441,0.003379897
1473,0.003525869
1505,0.003662631
1537,0.003817742
1569,0.003983954
1601,0.004195696
1633,0.004354847
1665,0.004584719
1697,0.004806633
1729,0.004967684
1761,0.005097326
1793,0.005331419
1825,0.005477840
1857,0.005692983
1889,0.005983305
1921,0.006139438
1953,0.006398361
1985,0.006637623
2017,0.006773654
2049,0.007043617
2081,0.007228149
2113,0.007500443
2145,0.007676114
2177,0.007907467
2209,0.008149719
2241,0.008422922
2273,0.008667096
2305,0.008890357
2337,0.009300072
2369,0.009470563
2401,0.009685167
2433,0.010083720
2465,0.010400074
2497,0.012058063
2529,0.010883509
2561,0.011011141
2593,0.011262143
2625,0.011520417
2657,0.011873361
2689,0.012026572
2721,0.012276495
2753,0.012631339
2785,0.012988402
2817,0.013198885
2849,0.013524168
2881,0.013838422
2913,0.014067545
2945,0.014399179
2977,0.014720461
3009,0.015066416
3041,0.015383659
3073,0.015708922
3105,0.016007936
3137,0.016504540
3169,0.016852175
3201,0.017186139
3233,0.017507092
3265,0.018019137
3297,0.018307931
3329,0.018393703
3361,0.018737056
3393,0.019153389
3425,0.019742967
3457,0.020089561
3489,0.020170612
3521,0.020865188
3553,0.021306484
3585,0.021657568
3617,0.022050532
3649,0.022214924
3681,0.022666399
3713,0.022856671
3745,0.023502687
3777,0.023777862
3809,0.024020634
3841,0.024724161
3873,0.024918804
3905,0.025246138
3937,0.025543080
3969,0.026424350
4001,0.027623994
4033,0.026888144
4065,0.027281910
4097,0.027634134
4129,0.027867735
4161,0.028401032
4193,0.028987617
4225,0.029471163
4257,0.029956369
4289,0.030566865
4321,0.030944520
4353,0.031779369
4385,0.032848611
4417,0.033238285
4449,0.033378206
4481,0.036165247
4513,0.034085244
4545,0.035206717
4577,0.035705362
4609,0.036045056
4641,0.036550911
4673,0.037142728
4705,0.037601392
4737,0.038068999
4769,0.038640774
4801,0.039078219
4833,0.039552133
4865,0.040026880
4897,0.040575785
4929,0.040943240
4961,0.041588236
4993,0.042114813
5025,0.042416386
5057,0.043860342
5089,0.044270545
5121,0.043985333
5153,0.044386497
5185,0.046309978
5217,0.046042656
5249,0.046401170
5281,0.046721893
5313,0.047166557
5345,0.047273929
5377,0.047214239
5409,0.047909915
5441,0.048394892
5473,0.048842176
5505,0.049722176
5537,0.050767528
5569,0.051238943
5601,0.051861149
5633,0.052351695
5665,0.052886180
5697,0.053601698
5729,0.054433418
5761,0.054751691
5793,0.054710380
5825,0.055754582
5857,0.056876065
5889,0.056933705
5921,0.057230708
5953,0.058052438
5985,0.058065797
6017,0.059135959
6049,0.059493063
6081,0.060169081
6113,0.061510025
6145,0.061296903
6177,0.061922040
6209,0.062618448
6241,0.062990643
6273,0.064387637
6305,0.064999514
6337,0.065464138
6369,0.066290968
6401,0.067007057
6433,0.068135488
6465,0.068823686
6497,0.069768266
6529,0.070389972
6561,0.071365174
6593,0.072057301
6625,0.071964110
6657,0.072838189
6689,0.073433727
6721,0.073779010
6753,0.075639960
6785,0.076208217
6817,0.076585561
6849,0.077737974
6881,0.079462333
6913,0.079893257
6945,0.080945429
6977,0.081493295
7009,0.082084741
7041,0.082965471
7073,0.084217895
7105,0.084508408
7137,0.085365787
7169,0.086446119
7201,0.087382680
7233,0.087933625
7265,0.087420630
7297,0.087886276
7329,0.088770525
7361,0.089574543
7393,0.090210430
7425,0.090929189
7457,0.092247373
7489,0.092909160
7521,0.093848120
7553,0.094590348
7585,0.095239066
7617,0.096688371
7649,0.097601532
7681,0.098360161
7713,0.099242150
7745,0.100975978
7777,0.101763447
7809,0.102052731
7841,0.102198002
7873,0.103504266
7905,0.104648089
7937,0.104951222
7969,0.105794442
8001,0.106565279
8033,0.107449680
8065,0.108558202
8097,0.109360220
8129,0.110542284
8161,0.111082280
8193,0.112115910
8225,0.114358776
8257,0.115515439
8289,0.116003283
8321,0.117242048
8353,0.120292051
8385,0.120550143
8417,0.119580724
8449,0.120479223
8481,0.122102711
8513,0.123340364
8545,0.124467336
8577,0.124994253
8609,0.125727960
8641,0.126682292
8673,0.127877414
8705,0.128795755
8737,0.131110769
8769,0.128250559
8801,0.128419719
8833,0.129421791
8865,0.131473453
8897,0.131758227
8929,0.132232331
8961,0.134099134
8993,0.136654820
9025,0.136901704
9057,0.137502760
9089,0.138183417
9121,0.138756064
9153,0.140130579
9185,0.140176390
9217,0.141373732
9249,0.143323045
9281,0.144877031
9313,0.146994324
9345,0.147670842
9377,0.148467250
9409,0.149684794
9441,0.149400341
9473,0.150706214
9505,0.152065119
9537,0.152546496
9569,0.152656096
9601,0.152656956
9633,0.153931731
9665,0.156753891
9697,0.158445659
9729,0.158108896
9761,0.159838436
9793,0.161927138
9825,0.182898318
9857,0.162325182
9889,0.163475765
9921,0.164302965
9953,0.166329096
9985,0.166259986
10017,0.168067816
10049,0.170488643
10081,0.170896118
10113,0.171328202
10145,0.171990029
10177,0.173095751
10209,0.174070041
10241,0.174177182
10273,0.175056643
10305,0.175002432
10337,0.176744880
10369,0.176976943
10401,0.178918175
10433,0.182945049
10465,0.185141573
10497,0.186856202
10529,0.188004645
10561,0.189328770
10593,0.187501009
10625,0.188376288
10657,0.189026776
10689,0.190327520
10721,0.191590184
10753,0.194224453
10785,0.195469147
10817,0.195822550
10849,0.197342537
10881,0.198884335
10913,0.198104125
10945,0.200037587
10977,0.200523522
11009,0.202971030
11041,0.203701097
11073,0.205066602
11105,0.206144074
11137,0.206384677
11169,0.207673041
11201,0.208642041
11233,0.210685043
11265,0.211771325
11297,0.213014370
11329,0.214228203
11361,0.216150524
11393,0.217490908
11425,0.218433849
11457,0.220128848
11489,0.222716976
11521,0.224873210
11553,0.223319632
11585,0.224243573
11617,0.224749639
11649,0.226585169
11681,0.229013386
11713,0.229834564
11745,0.230726284
11777,0.231896317
11809,0.233271052
11841,0.234479455
11873,0.236255255
11905,0.237127185
11937,0.238177946
11969,0.240900696
12001,0.241935528
12033,0.243667857
12065,0.244812829
12097,0.244758319
12129,0.245865379
