n,t
1,0.000000070
129,0.000007270
257,0.000012870
385,0.000021230
513,0.000026491
641,0.000035680
769,0.000042591
897,0.000052881
1025,0.000057950
1153,0.000068850
1281,0.000075541
1409,0.000085381
1537,0.000091291
1665,0.000101941
1793,0.000110121
1921,0.000119841
2049,0.000125472
2177,0.000136992
2305,0.000145272
2433,0.000154941
2561,0.000160252
2689,0.000171032
2817,0.000181092
2945,0.000188452
3073,0.000196072
3201,0.000208032
3329,0.000216602
3457,0.000232573
3585,0.000233763
3713,0.000244403
3841,0.000253543
3969,0.000261723
4097,0.000266833
4225,0.000281773
4353,0.000290643
4481,0.000330264
4609,0.000285523
4737,0.000296463
4865,0.000307373
4993,0.000309834
5121,0.000315463
5249,0.000328274
5377,0.000336954
5505,0.000347174
5633,0.000361924
5761,0.000362275
5889,0.000369144
6017,0.000381164
6145,0.000416914
6273,0.000430114
6401,0.000475105
6529,0.000417524
6657,0.000430935
6785,0.000440744
6913,0.000457735
7041,0.000461925
7169,0.000468355
7297,0.000477585
7425,0.000490166
7553,0.000500056
7681,0.000505656
7809,0.000522716
7937,0.000524496
8065,0.000531786
8193,0.000534916
8321,0.000552416
8449,0.000563296
8577,0.000575257
8705,0.000583457
8833,0.000593606
8961,0.000602857
9089,0.000616576
9217,0.000625367
9345,0.000635147
9473,0.000646907
9601,0.000655577
9729,0.000726038
9857,0.000671358
9985,0.000679727
10113,0.000686888
10241,0.000696278
10369,0.000711698
10497,0.000716218
10625,0.000762749
10753,0.000804239
10881,0.000771178
11009,0.000793668
11137,0.000819379
11265,0.000772419
11393,0.000800279
11521,0.000834339
11649,0.000855129
11777,0.000850169
11905,0.000822179
12033,0.000813599
12161,0.000839100
12289,0.000882130
12417,0.000899179
12545,0.000927130
12673,0.000857339
12801,0.000961681
12929,0.000966750
13057,0.000963991
13185,0.001004291
13313,0.000979081
13441,0.000992051
13569,0.001009491
13697,0.001018021
13825,0.001023292
13953,0.001046451
14081,0.001052582
14209,0.001054631
14337,0.001127642
14465,0.001072272
14593,0.001106162
14721,0.001093952
14849,0.001143532
14977,0.001129023
15105,0.001126912
15233,0.001131812
15361,0.001150082
15489,0.001150393
15617,0.001186213
15745,0.001167542
15873,0.001173123
16001,0.001200643
16129,0.001189694
16257,0.001207623
16385,0.001204394
16513,0.001222354
16641,0.001235904
16769,0.001250724
16897,0.001265684
17025,0.001273214
17153,0.001291554
17281,0.001303064
17409,0.001236844
17537,0.001314804
17665,0.001334145
17793,0.001348025
17921,0.001348225
18049,0.001362825
18177,0.001368785
18305,0.001374985
18433,0.001381965
18561,0.001399965
18689,0.001416605
18817,0.001442956
18945,0.001437696
19073,0.001443927
19201,0.001457036
19329,0.001463106
19457,0.001475536
19585,0.001480986
19713,0.001492506
19841,0.001500726
19969,0.001507957
20097,0.001515827
20225,0.001524336
20353,0.001529547
20481,0.001535047
20609,0.001553727
20737,0.001566587
20865,0.001617118
20993,0.001592578
21121,0.001609708
21249,0.001614887
21377,0.001630398
21505,0.001651428
21633,0.001649279
21761,0.001660579
21889,0.001668948
22017,0.001687818
22145,0.001696709
22273,0.001722639
22401,0.001715539
22529,0.001729169
22657,0.001745670
22785,0.001733969
22913,0.001750900
23041,0.001771380
23169,0.001781419
23297,0.001789529
23425,0.001799500
23553,0.001802830
23681,0.001849521
23809,0.001825470
23937,0.001836730
24065,0.001850021
24193,0.001847720
24321,0.001862370
24449,0.001868350
24577,0.001873561
24705,0.001894591
24833,0.001903511
24961,0.001921801
25089,0.001928462
25217,0.001944642
25345,0.001960562
25473,0.001970132
25601,0.001983672
25729,0.001996382
25857,0.002000072
25985,0.002021302
26113,0.002029552
26241,0.002038903
26369,0.002061703
26497,0.002062603
26625,0.002077243
26753,0.002101033
26881,0.002099373
27009,0.002187744
27137,0.002143744
27265,0.002110783
27393,0.002154303
27521,0.002165594
27649,0.002181684
27777,0.002216525
27905,0.002147274
28033,0.002209344
28161,0.002176894
28289,0.002251485
28417,0.002236595
28545,0.002245434
28673,0.002198564
28801,0.002268874
28929,0.002322385
29057,0.002270425
29185,0.002241875
29313,0.002405996
29441,0.002376996
29569,0.002347446
29697,0.002276885
29825,0.002358846
29953,0.002381986
30081,0.002217284
30209,0.002229725
30337,0.002388196
30465,0.002227545
30593,0.002239364
30721,0.002381177
30849,0.002419247
30977,0.002451947
31105,0.002346596
31233,0.002449317
31361,0.002479438
31489,0.002478168
31617,0.002502817
31745,0.002516317
31873,0.002389337
32001,0.002550918
32129,0.002503048
32257,0.002499868
32385,0.002508157
32513,0.002466027
32641,0.002464347
32769,0.002597409
32897,0.002584658
33025,0.002564959
33153,0.002571869
33281,0.002535128
33409,0.002726140
33537,0.002639829
33665,0.002665889
33793,0.002662089
33921,0.002741320
34049,0.002707030
34177,0.002688240
34305,0.002721810
34433,0.002732320
34561,0.002736510
34689,0.002747470
34817,0.002870112
34945,0.002784000
35073,0.002790931
35201,0.002802971
35329,0.002811071
35457,0.002832801
35585,0.002832821
35713,0.002843611
35841,0.002860951
35969,0.002886842
36097,0.002882101
36225,0.002888372
36353,0.002898532
36481,0.002915782
36609,0.002731230
36737,0.002842861
36865,0.002825141
36993,0.002778411
37121,0.002768831
37249,0.002899962
37377,0.002975223
37505,0.002807451
37633,0.002814741
37761,0.002994373
37889,0.002839211
38017,0.002830031
38145,0.002836331
38273,0.002958862
38401,0.003069134
38529,0.003057394
38657,0.002981293
38785,0.003112964
38913,0.003173134
39041,0.003110784
39169,0.003130084
39297,0.003142755
39425,0.003106175
39553,0.003165034
39681,0.003090454
39809,0.003224516
39937,0.003217286
40065,0.003254106
40193,0.003235896
40321,0.003246736
40449,0.003192176
40577,0.003196125
40705,0.003316706
40833,0.003249636
40961,0.003241835
41089,0.003270446
41217,0.003180175
41345,0.003302717
41473,0.003161604
41601,0.003331317
41729,0.003160755
41857,0.003374437
41985,0.003400827
42113,0.003412347
42241,0.003432988
42369,0.003379827
42497,0.003374717
42625,0.003401647
42753,0.003481888
42881,0.003485348
43009,0.003500828
43137,0.003487478
43265,0.003485399
43393,0.003502708
43521,0.003513959
43649,0.003549479
43777,0.003560639
43905,0.003617009
44033,0.003586860
44161,0.003599379
44289,0.003586120
44417,0.003604989
44545,0.003612770
44673,0.003618420
44801,0.003624310
44929,0.003644911
45057,0.003668871
45185,0.003660341
45313,0.003691560
45441,0.003694351
45569,0.003692101
45697,0.003717302
45825,0.003716241
45953,0.003731271
46081,0.003740291
46209,0.003778282
46337,0.003785422
46465,0.003770921
46593,0.003787452
46721,0.003793472
46849,0.003839173
46977,0.003807201
47105,0.003821822
47233,0.003844023
47361,0.003847362
47489,0.003856883
47617,0.003888062
47745,0.003909043
47873,0.003907133
48001,0.003872073
48129,0.003925194
48257,0.003885272
48385,0.003963224
48513,0.003978534
48641,0.003950004
48769,0.003942093
48897,0.003963304
49025,0.003963514
49153,0.003976814
49281,0.003958384
49409,0.004015704
49537,0.003999004
49665,0.003934705
49793,0.004103555
49921,0.003983643
50049,0.004099625
50177,0.004088135
50305,0.004122985
50433,0.004164336
50561,0.004083745
50689,0.004143165
50817,0.004190916
50945,0.004188726
51073,0.004220276
51201,0.004195666
51329,0.004175956
51457,0.004252207
51585,0.004230147
51713,0.004251686
51841,0.004295857
51969,0.004289828
52097,0.004321738
52225,0.004340247
52353,0.004275027
52481,0.004466189
52609,0.004369389
52737,0.004334808
52865,0.004415958
52993,0.004271587
53121,0.004409518
53249,0.004480660
53377,0.004456640
53505,0.004476369
53633,0.004467659
53761,0.004487429
53889,0.004420149
54017,0.004502670
54145,0.004509519
54273,0.004398618
54401,0.004400668
54529,0.004530610
54657,0.004493350
54785,0.004605731
54913,0.004593481
55041,0.004607211
55169,0.004665882
55297,0.004488700
55425,0.004666622
55553,0.004662271
55681,0.004650371
55809,0.004663331
55937,0.004501699
56065,0.004647692
56193,0.004705492
56321,0.004668911
56449,0.004689071
56577,0.004756662
56705,0.004756083
56833,0.004545060
56961,0.004757312
57089,0.004704542
57217,0.004747412
57345,0.004813194
57473,0.004668351
57601,0.004694191
57729,0.004740422
57857,0.004705852
57985,0.004863404
58113,0.004786642
58241,0.004889064
58369,0.004889313
58497,0.004876744
58625,0.004912345
58753,0.004877454
58881,0.004888364
59009,0.004801513
59137,0.004928825
59265,0.004854903
59393,0.005003175
59521,0.005019175
59649,0.005114096
59777,0.004890724
59905,0.004972734
60033,0.004966864
60161,0.005044505
60289,0.004970725
60417,0.004928065
60545,0.005105406
60673,0.004920935
60801,0.004967485
60929,0.004860604
61057,0.004720933
61185,0.004996784
61313,0.005046096
61441,0.005144267
61569,0.005196857
61697,0.005187647
61825,0.005161347
61953,0.005082926
62081,0.005031765
62209,0.004888114
62337,0.004850323
62465,0.004861034
62593,0.004868034
62721,0.004832713
62849,0.005008556
62977,0.004822723
63105,0.005062336
63233,0.005205157
63361,0.005301579
63489,0.005258518
63617,0.005169947
63745,0.005282928
63873,0.005279508
64001,0.005114786
64129,0.005181427
64257,0.005365389
64385,0.005330388
64513,0.005397150
64641,0.005376219
64769,0.005283348
64897,0.005251388
65025,0.005350029
65153,0.005393480
65281,0.005303529
65409,0.005410999
65537,0.005343418
65665,0.005235358
65793,0.005515810
65921,0.005222567
66049,0.005247918
66177,0.005486610
66305,0.005350699
66433,0.005456450
66561,0.005446660
66689,0.005606271
66817,0.005334059
66945,0.005437020
67073,0.005351149
67201,0.005710213
67329,0.005485711
67457,0.005496321
67585,0.005436790
67713,0.005554791
67841,0.005278878
67969,0.005519302
68097,0.005676052
68225,0.005531941
68353,0.005436490
68481,0.005411880
68609,0.005686393
68737,0.005490380
68865,0.005533391
68993,0.005632932
69121,0.005624333
69249,0.005767193
69377,0.005838184
69505,0.005813664
69633,0.005743974
69761,0.005593822
69889,0.005846794
70017,0.005756284
70145,0.005614433
70273,0.005682433
70401,0.005828634
70529,0.005881755
70657,0.005946356
70785,0.005874205
70913,0.005933056
71041,0.006006736
71169,0.006124438
71297,0.005953675
71425,0.005820024
71553,0.005845094
71681,0.006060347
71809,0.006066466
