n,t
1,0.000000060
129,0.000007250
257,0.000013840
385,0.000021650
513,0.000028081
641,0.000036540
769,0.000044761
897,0.000057251
1025,0.000065411
1153,0.000072851
1281,0.000081511
1409,0.000090901
1537,0.000104451
1665,0.000107342
1793,0.000117081
1921,0.000123741
2049,0.000134921
2177,0.000144061
2305,0.000158811
2433,0.000187452
2561,0.000204272
2689,0.000167842
2817,0.000178522
2945,0.000188632
3073,0.000189642
3201,0.000198913
3329,0.000213233
3457,0.000217953
3585,0.000228092
3713,0.000239533
3841,0.000273883
3969,0.000279254
4097,0.000288993
4225,0.000338854
4353,0.000280503
4481,0.000301353
4609,0.000312544
4737,0.000336734
4865,0.000343754
4993,0.000362484
5121,0.000398234
5249,0.000370764
5377,0.000400774
5505,0.000394624
5633,0.000405105
5761,0.000407295
5889,0.000455625
6017,0.000406164
6145,0.000413905
6273,0.000411785
6401,0.000430155
6529,0.000463606
6657,0.000481406
6785,0.000564116
6913,0.000471645
7041,0.000501175
7169,0.000582996
7297,0.000554276
7425,0.000507215
7553,0.000521986
7681,0.000531026
7809,0.000543766
7937,0.000556756
8065,0.000551196
8193,0.000565767
8321,0.000575106
8449,0.000589546
8577,0.000597827
8705,0.000609026
8833,0.000605107
8961,0.000631887
9089,0.000634647
9217,0.000685238
9345,0.000723198
9473,0.000662217
9601,0.000667367
9729,0.000689298
9857,0.000690608
9985,0.000705838
10113,0.000818319
10241,0.000717469
10369,0.000712258
10497,0.000745988
10625,0.000750909
10753,0.000753378
10881,0.000765368
11009,0.000775008
11137,0.000799899
11265,0.000798299
11393,0.000805289
11521,0.000804259
11649,0.000840459
11777,0.000855149
11905,0.000836009
12033,0.000907230
12161,0.000980711
12289,0.000921290
12417,0.000949181
12545,0.000895160
12673,0.000938051
12801,0.000991971
12929,0.000994071
13057,0.001029261
13185,0.000948871
13313,0.000951711
13441,0.000979481
13569,0.001013291
13697,0.001042762
13825,0.001114073
13953,0.001074742
14081,0.001007591
14209,0.001084893
14337,0.001126883
14465,0.001091442
14593,0.001170953
14721,0.001069792
14849,0.001063332
14977,0.001086153
15105,0.001110012
15233,0.001124483
15361,0.001153723
15489,0.001133573
15617,0.001131963
15745,0.001151603
15873,0.001145883
16001,0.001160423
16129,0.001195843
16257,0.001184184
16385,0.001195833
16513,0.001182353
16641,0.001209004
16769,0.001216824
16897,0.001224953
17025,0.001324175
17153,0.001413666
17281,0.001316135
17409,0.001411406
17537,0.001288524
17665,0.001314855
17793,0.001295294
17921,0.001355115
18049,0.001336895
18177,0.001356025
18305,0.001373175
18433,0.001374046
18561,0.001369275
18689,0.001388936
18817,0.001426736
18945,0.001409016
19073,0.001486606
19201,0.001560577
19329,0.001461116
19457,0.001455806
19585,0.001502647
19713,0.001466896
19841,0.001515827
19969,0.001511256
20097,0.001446666
20225,0.001605728
20353,0.001529027
20481,0.001520437
20609,0.001514207
20737,0.001628899
20865,0.001620738
20993,0.001550197
21121,0.001547018
21249,0.001627768
21377,0.001697819
21505,0.001741689
21633,0.001733319
21761,0.001629608
21889,0.001779290
22017,0.001654049
22145,0.001621328
22273,0.001831331
22401,0.001678538
22529,0.001832211
22657,0.001720770
22785,0.001705110
22913,0.001738550
23041,0.001722099
23169,0.001783500
23297,0.001871641
23425,0.001778010
23553,0.001769749
23681,0.001788990
23809,0.001801080
23937,0.001946671
24065,0.001776350
24193,0.001836321
24321,0.001820711
24449,0.001848601
24577,0.002051273
24705,0.001892381
24833,0.001849470
24961,0.001904561
25089,0.001874031
25217,0.001845811
25345,0.001873621
25473,0.001947241
25601,0.001966662
25729,0.001911411
25857,0.002086063
25985,0.001940283
26113,0.001955832
26241,0.002142214
26369,0.002046673
26497,0.002113704
26625,0.002007592
26753,0.002057313
26881,0.002170674
27009,0.002151214
27137,0.002187524
27265,0.002112884
27393,0.002289565
27521,0.002172574
27649,0.002272576
27777,0.002205735
27905,0.002136664
28033,0.002127624
28161,0.002199655
28289,0.002170055
28417,0.002266565
28545,0.002345146
28673,0.002191845
28801,0.002295666
28929,0.002317786
29057,0.002217835
29185,0.002348606
29313,0.002353876
29441,0.002229165
29569,0.002250455
29697,0.002377317
29825,0.002550098
29953,0.002382017
30081,0.002295465
30209,0.002307336
30337,0.002462597
30465,0.002311966
30593,0.002289155
30721,0.002295185
30849,0.002293696
30977,0.002355576
31105,0.002504238
31233,0.002347346
31361,0.002409027
31489,0.002534268
31617,0.002434718
31745,0.002422547
31873,0.002456418
32001,0.002611869
32129,0.002561139
32257,0.002474048
32385,0.002484508
32513,0.002503578
32641,0.002502768
32769,0.002646860
32897,0.002531368
33025,0.002693860
33153,0.002539849
33281,0.002473197
33409,0.002674670
33537,0.002532009
33665,0.002570258
33793,0.002563159
33921,0.002583709
34049,0.002836623
34177,0.002799991
34305,0.002607160
34433,0.002655280
34561,0.002588489
34689,0.002611409
34817,0.002655160
34945,0.002824922
35073,0.002736850
35201,0.002674941
35329,0.002705621
35457,0.002850742
35585,0.002913803
35713,0.002732611
35841,0.002862282
35969,0.002857402
36097,0.002787852
36225,0.002816702
36353,0.002798211
36481,0.002935893
36609,0.002848952
36737,0.002777851
36865,0.002874172
36993,0.002797922
37121,0.002941703
37249,0.002963033
37377,0.002972194
37505,0.003138915
37633,0.003001823
37761,0.003071394
37889,0.003082185
38017,0.003118245
38145,0.003127785
38273,0.003174215
38401,0.003110315
38529,0.003110276
38657,0.003133225
38785,0.003100024
38913,0.003275636
39041,0.003098134
39169,0.003255467
39297,0.003031614
39425,0.003091705
39553,0.003024264
39681,0.003249877
39809,0.003283897
39937,0.003084895
40065,0.003176426
40193,0.003286957
40321,0.003276987
40449,0.003226817
40577,0.003126975
40705,0.003347628
40833,0.003193696
40961,0.003424278
41089,0.003200706
41217,0.003233877
41345,0.003300157
41473,0.003480750
41601,0.003261007
41729,0.003377908
41857,0.003232466
41985,0.003690051
42113,0.004573291
42241,0.003449819
42369,0.003530509
42497,0.003534390
42625,0.003364718
42753,0.003407448
42881,0.003510789
43009,0.003549490
43137,0.003417609
43265,0.003533909
43393,0.003340448
43521,0.003537630
43649,0.003554650
43777,0.003383338
43905,0.003539279
44033,0.003394459
44161,0.003587210
44289,0.003554520
44417,0.003453538
44545,0.003600311
44673,0.003742582
44801,0.003687721
44929,0.003761193
45057,0.003742592
45185,0.003813362
45313,0.003763922
45441,0.003688211
45569,0.003749882
45697,0.003813753
45825,0.003579641
45953,0.003642861
46081,0.003587190
46209,0.003661161
46337,0.003693042
46465,0.003570510
46593,0.003625131
46721,0.003988576
46849,0.003855524
46977,0.003839593
47105,0.003638511
47233,0.003649471
47361,0.003866134
47489,0.003858674
47617,0.003892624
47745,0.004062146
47873,0.003743532
48001,0.003768803
48129,0.004104216
48257,0.003761742
48385,0.003709883
48513,0.003803952
48641,0.004030355
48769,0.004103806
48897,0.003898283
49025,0.003960985
49153,0.004017766
49281,0.004062166
49409,0.004064116
49537,0.004012765
49665,0.003995625
49793,0.004151586
49921,0.004130967
50049,0.004104076
50177,0.004041385
50305,0.004274138
50433,0.004212738
50561,0.003991355
50689,0.004157678
50817,0.004083615
50945,0.004107266
51073,0.004218738
51201,0.004151847
51329,0.004075796
51457,0.004168717
51585,0.004039865
51713,0.004084296
51841,0.004219238
51969,0.004241588
52097,0.004096915
52225,0.004326790
52353,0.004118346
52481,0.004236978
52609,0.004410040
52737,0.004155806
52865,0.004406689
52993,0.004532692
53121,0.004519601
53249,0.004309278
53377,0.004416530
53505,0.004319868
53633,0.004211358
53761,0.004186278
53889,0.004229948
54017,0.004437319
54145,0.004340868
54273,0.004372239
54401,0.004427910
54529,0.004444510
54657,0.004439140
54785,0.004580212
54913,0.004455560
55041,0.004427280
55169,0.004443461
55297,0.004544071
55425,0.004524180
55553,0.004680592
55681,0.004703393
55809,0.004781675
55937,0.004675823
56065,0.004792144
56193,0.004805744
56321,0.004756814
56449,0.004667583
56577,0.004767994
56705,0.004527810
56833,0.004630092
56961,0.004500320
57089,0.004825554
57217,0.004786374
57345,0.004787474
57473,0.004852915
57601,0.004848345
57729,0.004778314
57857,0.004878315
57985,0.004778373
58113,0.004798264
58241,0.004895934
58369,0.004967825
58497,0.004987226
58625,0.004944395
58753,0.004763494
58881,0.004773664
59009,0.004758033
59137,0.004793255
59265,0.004773913
59393,0.004747303
