n,t
1,0.000000240
33,0.000003020
65,0.000009130
97,0.000019810
129,0.000034741
161,0.000053860
193,0.000077201
225,0.000104651
257,0.000136371
289,0.000172311
321,0.000212392
353,0.000256672
385,0.000305072
417,0.000357723
449,0.000414563
481,0.000475574
513,0.000542874
545,0.000620974
577,0.000685295
609,0.000786506
641,0.000869846
673,0.000958747
705,0.001063377
737,0.001152348
769,0.001252600
801,0.001366240
833,0.001244839
865,0.001054978
897,0.001141799
929,0.001237449
961,0.001236169
993,0.001206069
1025,0.001280650
1057,0.001361750
1089,0.001449741
1121,0.001533301
1153,0.001621562
1185,0.001716533
1217,0.001805604
1249,0.001909374
1281,0.002004395
1313,0.002105785
1345,0.002209296
1377,0.002322597
1409,0.002423988
1441,0.002536209
1473,0.002649070
1505,0.002765930
1537,0.002878552
1569,0.003017342
1601,0.003127293
1633,0.003252484
1665,0.003381124
1697,0.003507886
1729,0.003645587
1761,0.003781278
1793,0.003920029
1825,0.004062720
1857,0.004205301
1889,0.004350532
1921,0.004521124
1953,0.004649074
1985,0.004805866
2017,0.004957346
2049,0.005123297
2081,0.005275218
2113,0.005443080
2145,0.005616631
2177,0.005782142
2209,0.005955354
2241,0.006120385
2273,0.006313796
2305,0.006473538
2337,0.006657789
2369,0.006840670
2401,0.007022582
2433,0.007212683
2465,0.007407035
2497,0.007599456
2529,0.007795138
2561,0.007995489
2593,0.008197470
2625,0.008421802
2657,0.008607693
2689,0.008815214
2721,0.009018336
2753,0.009232637
2785,0.009450760
2817,0.009667401
2849,0.009895303
2881,0.010115334
2913,0.010347686
2945,0.010565828
2977,0.010818160
3009,0.011039701
3041,0.011365883
3073,0.011512174
3105,0.011744666
3137,0.011990309
3169,0.012260240
3201,0.012489792
3233,0.012730734
3265,0.012987316
3297,0.013242707
3329,0.013498240
3361,0.013758881
3393,0.014024173
3425,0.014289605
3457,0.014558637
3489,0.014829949
3521,0.015100461
3553,0.015387933
3585,0.015670045
3617,0.015943857
3649,0.016193289
3681,0.016504601
3713,0.016794914
3745,0.017119036
3777,0.017379008
3809,0.017670189
3841,0.017988652
3873,0.018265864
3905,0.018570747
3937,0.018887379
3969,0.019185340
4001,0.019515793
4033,0.019810315
4065,0.020122278
4097,0.020450261
4129,0.020771464
4161,0.021101315
4193,0.021460537
4225,0.021746789
4257,0.022136963
4289,0.022429176
4321,0.022770687
4353,0.023091229
4385,0.023430842
4417,0.023843636
4449,0.024241748
4481,0.024584900
4513,0.024890884
4545,0.025272736
4577,0.025584648
4609,0.026538955
4641,0.026586786
4673,0.026908088
4705,0.027009419
4737,0.027383312
4769,0.027944906
4801,0.030833867
4833,0.029290896
4865,0.032783280
4897,0.029523587
4929,0.029853611
4961,0.030184102
4993,0.030580525
5025,0.034067861
5057,0.031158109
5089,0.031553702
5121,0.032007815
5153,0.032386878
5185,0.032827432
5217,0.033395045
5249,0.033600337
5281,0.034007330
5313,0.034448323
5345,0.034839797
5377,0.035367980
5409,0.035900494
5441,0.036318777
5473,0.036856651
5505,0.038392832
5537,0.043539121
5569,0.040330857
5601,0.038587753
5633,0.038961237
5665,0.039505481
5697,0.039745982
5729,0.040065775
5761,0.040446498
5793,0.041094792
5825,0.041407314
5857,0.041878989
5889,0.042415953
5921,0.042825705
5953,0.043275268
5985,0.043803202
6017,0.044208106
6049,0.044561478
6081,0.045088062
6113,0.045566775
6145,0.045873098
6177,0.046516033
6209,0.046985446
6241,0.047489520
6273,0.047966953
6305,0.048493108
6337,0.049195003
6369,0.049230082
6401,0.049881357
6433,0.050167299
6465,0.051013586
6497,0.051536870
6529,0.051970612
6561,0.052478717
6593,0.052973060
6625,0.053562984
6657,0.054075098
6689,0.054578013
6721,0.055070705
6753,0.055894352
6785,0.056070702
6817,0.056654738
6849,0.057229842
6881,0.057767656
6913,0.058223469
6945,0.058804203
6977,0.059339908
7009,0.059964492
7041,0.060584387
7073,0.061005050
7105,0.061583984
7137,0.062124527
7169,0.062669152
7201,0.063245946
7233,0.063812371
7265,0.064381194
7297,0.064921620
7329,0.065518953
7361,0.066002787
7393,0.066550530
7425,0.067175886
7457,0.067706189
7489,0.068293254
7521,0.068989018
7553,0.069461462
7585,0.070045206
7617,0.070646112
7649,0.071234956
7681,0.071834449
7713,0.072575866
7745,0.073074199
7777,0.073690993
7809,0.074906393
7841,0.075003183
7873,0.075520287
7905,0.076184392
7937,0.077733234
7969,0.077597113
8001,0.078214438
8033,0.078765091
8065,0.079467947
8097,0.080322272
8129,0.080843147
8161,0.081461351
8193,0.082281878
8225,0.082849112
8257,0.084410203
8289,0.085389240
8321,0.085386651
8353,0.085625962
8385,0.085975775
8417,0.086603980
8449,0.087434207
8481,0.088064930
8513,0.088590075
8545,0.089304730
8577,0.090025005
8609,0.090701880
8641,0.094018465
8673,0.092576004
8705,0.094986913
8737,0.100915125
8769,0.094558719
8801,0.095010352
8833,0.095591667
8865,0.099733267
8897,0.097077968
8929,0.097967055
8961,0.098657980
8993,0.100071920
9025,0.099568457
9057,0.100369252
9089,0.104917105
9121,0.102683419
9153,0.103882658
9185,0.107644757
9217,0.103542577
9249,0.104303402
9281,0.105392910
9313,0.105922004
9345,0.106874812
9377,0.110580798
9409,0.108799785
9441,0.109904154
9473,0.111389515
9505,0.111448305
9537,0.111902939
9569,0.112799576
9601,0.112971866
9633,0.114221377
9665,0.114503478
9697,0.115881168
9729,0.116935216
9761,0.117699363
9793,0.118384177
9825,0.119153234
9857,0.120138780
9889,0.120413323
9921,0.121174968
9953,0.121493421
9985,0.123028272
10017,0.123980710
10049,0.124821786
10081,0.125356810
10113,0.125622352
10145,0.126552309
10177,0.127308774
10209,0.128023360
10241,0.128863056
10273,0.129741723
10305,0.130279618
10337,0.131168193
10369,0.132944778
10401,0.134454358
10433,0.134247417
10465,0.135613127
10497,0.136035160
10529,0.136920846
10561,0.137969515
10593,0.138065826
10625,0.139253865
10657,0.140185762
10689,0.140309662
10721,0.141183939
10753,0.142664571
10785,0.142904553
10817,0.146684860
10849,0.148164682
10881,0.148619455
10913,0.149400371
10945,0.150331607
