n,t
1,0.000000280
129,0.000000150
257,0.000000211
385,0.000000150
513,0.000000210
641,0.000000180
769,0.000000320
897,0.000000271
1025,0.000000270
1153,0.000000301
1281,0.000000340
1409,0.000000270
1537,0.000000280
1665,0.000000230
1793,0.000000270
1921,0.000000370
2049,0.000000310
2177,0.000000271
2305,0.000000331
2433,0.000000280
2561,0.000000250
2689,0.000000411
2817,0.000000280
2945,0.000000260
3073,0.000000190
3201,0.000000450
3329,0.000000370
3457,0.000000220
3585,0.000000301
3713,0.000000361
3841,0.000000270
3969,0.000000281
4097,0.000000251
4225,0.000000330
4353,0.000000320
4481,0.000000310
4609,0.000000270
4737,0.000000270
4865,0.000000350
4993,0.000000331
5121,0.000000250
5249,0.000000410
5377,0.000000450
5505,0.000000430
5633,0.000000310
5761,0.000000370
5889,0.000000250
6017,0.000000361
6145,0.000000470
6273,0.000000301
6401,0.000000361
6529,0.000000310
6657,0.000000340
6785,0.000000200
6913,0.000000220
7041,0.000000270
7169,0.000000170
7297,0.000000200
7425,0.000000230
7553,0.000000280
7681,0.000000220
7809,0.000000210
7937,0.000000280
8065,0.000000240
8193,0.000000200
8321,0.000000200
8449,0.000000260
8577,0.000000231
8705,0.000000170
8833,0.000000280
8961,0.000000201
9089,0.000000321
9217,0.000000270
9345,0.000000340
9473,0.000000211
9601,0.000000201
9729,0.000000311
9857,0.000000260
9985,0.000000200
10113,0.000000280
10241,0.000000180
10369,0.000000260
10497,0.000000180
10625,0.000000200
10753,0.000000310
10881,0.000000190
11009,0.000000331
11137,0.000000310
11265,0.000000200
11393,0.000000220
11521,0.000000180
11649,0.000000371
11777,0.000000220
11905,0.000000340
12033,0.000000230
12161,0.000000280
12289,0.000000320
12417,0.000000171
12545,0.000000251
12673,0.000000261
12801,0.000000210
12929,0.000000250
13057,0.000000150
13185,0.000000270
13313,0.000000161
13441,0.000000271
13569,0.000000441
13697,0.000000271
13825,0.000000270
13953,0.000000220
14081,0.000000220
14209,0.000000270
14337,0.000000351
14465,0.000000320
14593,0.000000240
