n,t
1,0.000000277
65,0.000001434
129,0.000002531
193,0.000003560
257,0.000004499
321,0.000005784
385,0.000006516
449,0.000007751
513,0.000010283
577,0.000011430
641,0.000012617
705,0.000014366
769,0.000015405
833,0.000016848
897,0.000015454
961,0.000016196
1025,0.000017817
1089,0.000019162
1153,0.000020338
1217,0.000021298
1281,0.000022791
1345,0.000023414
1409,0.000025539
1473,0.000026370
1537,0.000028545
1601,0.000029741
1665,0.000030226
1729,0.000031432
1793,0.000033914
1857,0.000035002
1921,0.000035823
1985,0.000036959
2049,0.000037997
2113,0.000039590
2177,0.000040717
2241,0.000043168
2305,0.000044068
2369,0.000044701
2433,0.000046036
2497,0.000046451
2561,0.000048577
2625,0.000050209
2689,0.000058188
2753,0.000053175
2817,0.000054094
2881,0.000054915
2945,0.000056694
3009,0.000057812
3073,0.000058366
3137,0.000059216
3201,0.000071447
3265,0.000102918
3329,0.000092131
3393,0.000082393
3457,0.000081037
3521,0.000083727
3585,0.000087069
3649,0.000086456
3713,0.000084152
3777,0.000084874
3841,0.000085161
3905,0.000060383
3969,0.000062044
4033,0.000052938
4097,0.000054115
4161,0.000042447
4225,0.000044266
4289,0.000043980
4353,0.000049883
4417,0.000047124
4481,0.000047598
4545,0.000051869
4609,0.000054164
4673,0.000051296
4737,0.000051840
4801,0.000052829
4865,0.000056705
4929,0.000056823
4993,0.000057872
5057,0.000057447
5121,0.000059463
5185,0.000058860
5249,0.000060204
5313,0.000061540
5377,0.000062390
5441,0.000062924
5505,0.000063152
5569,0.000064377
5633,0.000065316
5697,0.000065346
5761,0.000067324
5825,0.000067037
5889,0.000075392
5953,0.000068758
6017,0.000069094
6081,0.000070794
6145,0.000069331
6209,0.000071378
6273,0.000071961
6337,0.000073236
6401,0.000074572
6465,0.000075421
6529,0.000075383
6593,0.000076361
6657,0.000076717
6721,0.000077024
6785,0.000079318
6849,0.000078329
6913,0.000077854
6977,0.000080356
7041,0.000080820
7105,0.000082175
7169,0.000079723
7233,0.000079544
7297,0.000080860
7361,0.000085319
7425,0.000084706
7489,0.000080682
7553,0.000088306
7617,0.000087949
7681,0.000094168
7745,0.000092764
7809,0.000092517
7873,0.000114072
7937,0.000121477
8001,0.000128171
8065,0.000109800
8129,0.000110592
8193,0.000096571
8257,0.000095701
8321,0.000092478
8385,0.000098707
8449,0.000098766
8513,0.000099191
8577,0.000095414
8641,0.000100733
8705,0.000102276
8769,0.000102395
8833,0.000105519
8897,0.000104432
8961,0.000106913
9025,0.000106300
9089,0.000102820
9153,0.000128339
9217,0.000106113
9281,0.000105598
9345,0.000111214
9409,0.000106666
9473,0.000110631
9537,0.000109811
9601,0.000133066
9665,0.000110216
9729,0.000111501
9793,0.000133649
9857,0.000113310
9921,0.000113420
9985,0.000114438
10049,0.000120953
10113,0.000121903
10177,0.000114804
10241,0.000115120
10305,0.000116830
10369,0.000118858
10433,0.000124405
10497,0.000119302
10561,0.000120637
10625,0.000122871
10689,0.000130604
10753,0.000189632
10817,0.000168424
10881,0.000153631
10945,0.000134203
11009,0.000128033
11073,0.000134232
11137,0.000127569
11201,0.000143922
11265,0.000138059
11329,0.000139749
11393,0.000141965
11457,0.000133511
11521,0.000141737
11585,0.000165576
11649,0.000145722
11713,0.000136477
11777,0.000137010
11841,0.000138049
11905,0.000139166
11969,0.000147897
12033,0.000139483
12097,0.000138791
12161,0.000142607
12225,0.000141866
12289,0.000143043
12353,0.000143181
12417,0.000144061
12481,0.000142815
12545,0.000147442
12609,0.000146542
12673,0.000148441
12737,0.000153266
12801,0.000161305
12865,0.000150794
12929,0.000201457
12993,0.000222903
13057,0.000187200
13121,0.000153315
13185,0.000178440
13249,0.000164270
13313,0.000165734
13377,0.000155145
13441,0.000169382
13505,0.000161829
13569,0.000168097
13633,0.000158655
13697,0.000171399
13761,0.000160929
13825,0.000163726
13889,0.000164647
13953,0.000163598
14017,0.000168700
14081,0.000169729
14145,0.000168087
14209,0.000175759
14273,0.000171805
14337,0.000169412
14401,0.000170579
14465,0.000169827
14529,0.000170035
14593,0.000181653
14657,0.000171330
14721,0.000172606
14785,0.000262523
14849,0.000206135
14913,0.000188100
14977,0.000178934
15041,0.000181248
15105,0.000181228
15169,0.000191363
15233,0.000193162
15297,0.000180416
15361,0.000211354
15425,0.000202160
15489,0.000196376
15553,0.000200034
15617,0.000183640
15681,0.000187586
15745,0.000204137
15809,0.000189602
15873,0.000194417
15937,0.000192223
16001,0.000197116
16065,0.000195466
16129,0.000196780
16193,0.000200844
16257,0.000196415
16321,0.000250282
16385,0.000268356
16449,0.000243450
16513,0.000210890
16577,0.000212858
16641,0.000212106
16705,0.000216724
16769,0.000204068
16833,0.000204018
16897,0.000255996
16961,0.000202624
17025,0.000206530
17089,0.000217535
17153,0.000225642
17217,0.000219432
17281,0.000230892
17345,0.000221806
17409,0.000237497
17473,0.000222656
17537,0.000247592
17601,0.000227353
17665,0.000227996
17729,0.000318615
17793,0.000337213
17857,0.000255196
17921,0.000232455
17985,0.000234956
18049,0.000234077
18113,0.000232810
18177,0.000236894
18241,0.000239811
18305,0.000240118
18369,0.000236499
18433,0.000238199
18497,0.000237972
18561,0.000243054
18625,0.000240840
18689,0.000243064
18753,0.000241343
18817,0.000245901
18881,0.000247593
18945,0.000248917
19009,0.000304683
19073,0.000348563
19137,0.000252279
19201,0.000251212
19265,0.000255641
19329,0.000259042
19393,0.000252576
19457,0.000245941
19521,0.000241729
19585,0.000254722
19649,0.000254623
19713,0.000242006
19777,0.000241779
19841,0.000261652
19905,0.000248967
19969,0.000250806
20033,0.000260307
20097,0.000251929
20161,0.000251365
20225,0.000324721
20289,0.000360799
20353,0.000270760
20417,0.000269424
20481,0.000264196
20545,0.000274216
20609,0.000278652
20673,0.000271641
20737,0.000292078
20801,0.000287672
20865,0.000278998
20929,0.000288553
20993,0.000287305
21057,0.000290583
21121,0.000317652
21185,0.000311988
21249,0.000282176
21313,0.000284820
21377,0.000405264
21441,0.000285681
21505,0.000330780
21569,0.000286344
21633,0.000295295
21697,0.000369175
21761,0.000292097
21825,0.000298928
21889,0.000298998
21953,0.000293176
22017,0.000308384
22081,0.000298206
22145,0.000304532
22209,0.000317195
22273,0.000301562
22337,0.000406255
22401,0.000359750
22465,0.000306147
22529,0.000307394
22593,0.000302007
22657,0.000315840
22721,0.000303870
22785,0.000313681
22849,0.000307216
22913,0.000308809
22977,0.000310394
23041,0.000312265
23105,0.000310235
23169,0.000313562
23233,0.000309364
23297,0.000313117
23361,0.000425542
23425,0.000373661
23489,0.000316998
23553,0.000352503
23617,0.000305592
23681,0.000320642
23745,0.000316186
23809,0.000305641
23873,0.000339077
23937,0.000302720
24001,0.000304196
24065,0.000327572
24129,0.000344017
24193,0.000337840
24257,0.000350581
24321,0.000444066
24385,0.000402928
24449,0.000315750
24513,0.000325028
24577,0.000363997
24641,0.000355383
24705,0.000318523
24769,0.000318741
24833,0.000339294
24897,0.000325869
24961,0.000323681
25025,0.000323404
25089,0.000355820
25153,0.000332195
25217,0.000347889
25281,0.000340255
25345,0.000347007
25409,0.000348928
25473,0.000351215
25537,0.000349839
25601,0.000351008
25665,0.000332493
25729,0.000361680
25793,0.000376295
25857,0.000357701
25921,0.000336780
25985,0.000337690
26049,0.000338651
26113,0.000336968
26177,0.000359810
26241,0.000337621
26305,0.000403196
26369,0.000364007
26433,0.000356958
26497,0.000358908
26561,0.000349711
26625,0.000345572
26689,0.000343532
26753,0.000371800
26817,0.000354403
26881,0.000352393
26945,0.000351314
27009,0.000346453
27073,0.000370136
27137,0.000374770
27201,0.000374859
27265,0.000378770
27329,0.000377710
27393,0.000360681
27457,0.000412492
27521,0.000358700
27585,0.000354028
27649,0.000363759
27713,0.000367245
27777,0.000372195
27841,0.000365908
27905,0.000384849
27969,0.000385710
28033,0.000391116
28097,0.000391750
28161,0.000391492
28225,0.000390146
28289,0.000393046
28353,0.000417304
28417,0.000371859
28481,0.000372552
28545,0.000396126
28609,0.000395928
28673,0.000399770
28737,0.000409978
28801,0.000399977
28865,0.000380463
28929,0.000417195
28993,0.000382136
29057,0.000393027
29121,0.000412017
29185,0.000380116
29249,0.000425759
29313,0.000435286
29377,0.000433155
29441,0.000434552
29505,0.000419842
29569,0.000429605
29633,0.000429259
29697,0.000434582
29761,0.000403139
29825,0.000412605
29889,0.000411228
29953,0.000404804
30017,0.000414578
30081,0.000391878
30145,0.000397181
30209,0.000407480
30273,0.000420913
30337,0.000441996
30401,0.000427564
30465,0.000430111
30529,0.000449708
30593,0.000426671
30657,0.000427950
30721,0.000429953
30785,0.000405469
30849,0.000415074
30913,0.000440004
30977,0.000490222
31041,0.000456192
31105,0.000464290
31169,0.000460999
31233,0.000439717
31297,0.000439221
31361,0.000451017
31425,0.000439806
31489,0.000443474
31553,0.000446705
31617,0.000436416
31681,0.000425194
31745,0.000455200
31809,0.000431549
31873,0.000436892
31937,0.000446903
32001,0.000443524
32065,0.000465440
32129,0.000462298
32193,0.000456806
32257,0.000459612
32321,0.000460444
32385,0.000459503
32449,0.000511831
32513,0.000498935
32577,0.000486326
32641,0.000485741
32705,0.000486435
32769,0.000491480
32833,0.000465916
32897,0.000464945
32961,0.000471140
33025,0.000531944
