n,t
1,0.000000210
129,0.000000141
257,0.000000060
385,0.000000070
513,0.000000070
641,0.000000070
769,0.000000080
897,0.000000090
1025,0.000000081
1153,0.000000080
1281,0.000000070
1409,0.000000070
1537,0.000000070
1665,0.000000080
1793,0.000000080
1921,0.000000070
2049,0.000000070
2177,0.000000170
2305,0.000000080
2433,0.000000080
2561,0.000000060
2689,0.000000080
2817,0.000000080
2945,0.000000080
3073,0.000000080
3201,0.000000071
3329,0.000000071
3457,0.000000090
3585,0.000000110
3713,0.000000131
3841,0.000000110
3969,0.000000080
4097,0.000000070
4225,0.000000080
4353,0.000000050
4481,0.000000060
4609,0.000000050
4737,0.000000060
4865,0.000000070
4993,0.000000050
5121,0.000000040
5249,0.000000050
5377,0.000000040
5505,0.000000040
5633,0.000000050
5761,0.000000050
5889,0.000000040
6017,0.000000050
6145,0.000000060
6273,0.000000040
6401,0.000000050
6529,0.000000040
6657,0.000000050
6785,0.000000120
6913,0.000000040
7041,0.000000070
7169,0.000000040
7297,0.000000041
7425,0.000000080
7553,0.000000040
7681,0.000000120
7809,0.000000050
7937,0.000000070
8065,0.000000040
8193,0.000000040
8321,0.000000040
8449,0.000000040
8577,0.000000040
8705,0.000000040
8833,0.000000050
8961,0.000000040
9089,0.000000050
9217,0.000000040
9345,0.000000050
9473,0.000000040
9601,0.000000040
9729,0.000000040
9857,0.000000040
9985,0.000000060
10113,0.000000040
10241,0.000000100
10369,0.000000050
10497,0.000000040
10625,0.000000050
10753,0.000000040
10881,0.000000040
11009,0.000000080
11137,0.000000050
11265,0.000000040
11393,0.000000040
11521,0.000000040
11649,0.000000060
11777,0.000000050
11905,0.000000040
12033,0.000000040
12161,0.000000050
12289,0.000000061
12417,0.000000040
12545,0.000000040
12673,0.000000040
12801,0.000000060
12929,0.000000050
13057,0.000000050
13185,0.000000050
13313,0.000000060
13441,0.000000060
13569,0.000000050
13697,0.000000050
13825,0.000000050
13953,0.000000050
14081,0.000000070
14209,0.000000040
14337,0.000000060
14465,0.000000050
14593,0.000000050
14721,0.000000060
14849,0.000000060
14977,0.000000050
15105,0.000000040
15233,0.000000040
15361,0.000000050
15489,0.000000040
15617,0.000000060
15745,0.000000050
15873,0.000000040
16001,0.000000040
16129,0.000000050
16257,0.000000040
16385,0.000000050
16513,0.000000060
16641,0.000000040
16769,0.000000070
16897,0.000000060
17025,0.000000040
17153,0.000000040
17281,0.000000040
17409,0.000000050
17537,0.000000090
17665,0.000000051
17793,0.000000060
17921,0.000000040
18049,0.000000060
18177,0.000000060
18305,0.000000050
18433,0.000000050
18561,0.000000040
18689,0.000000060
18817,0.000000040
18945,0.000000040
19073,0.000000050
19201,0.000000030
19329,0.000000050
19457,0.000000040
19585,0.000000051
19713,0.000000050
19841,0.000000040
19969,0.000000040
20097,0.000000040
20225,0.000000040
20353,0.000000050
20481,0.000000040
20609,0.000000040
20737,0.000000060
20865,0.000000040
20993,0.000000040
21121,0.000000071
21249,0.000000031
21377,0.000000050
21505,0.000000040
21633,0.000000050
21761,0.000000050
21889,0.000000040
22017,0.000000040
22145,0.000000060
22273,0.000000060
22401,0.000000040
22529,0.000000050
22657,0.000000040
22785,0.000000040
22913,0.000000040
23041,0.000000050
23169,0.000000040
23297,0.000000040
23425,0.000000060
23553,0.000000050
23681,0.000000040
23809,0.000000040
23937,0.000000040
24065,0.000000040
24193,0.000000040
24321,0.000000040
24449,0.000000060
24577,0.000000050
24705,0.000000050
24833,0.000000040
24961,0.000000050
25089,0.000000040
25217,0.000000040
25345,0.000000040
25473,0.000000050
25601,0.000000040
25729,0.000000050
25857,0.000000040
25985,0.000000050
26113,0.000000041
26241,0.000000070
26369,0.000000100
26497,0.000000040
26625,0.000000040
26753,0.000000050
26881,0.000000060
27009,0.000000040
27137,0.000000040
27265,0.000000050
27393,0.000000070
27521,0.000000050
27649,0.000000050
27777,0.000000040
27905,0.000000040
28033,0.000000041
28161,0.000000040
28289,0.000000040
28417,0.000000050
28545,0.000000040
28673,0.000000090
28801,0.000000040
28929,0.000000050
29057,0.000000040
29185,0.000000050
29313,0.000000040
29441,0.000000070
29569,0.000000050
29697,0.000000050
29825,0.000000100
29953,0.000000200
30081,0.000000120
30209,0.000000090
30337,0.000000040
30465,0.000000050
30593,0.000000060
30721,0.000000040
30849,0.000000060
30977,0.000000050
31105,0.000000060
31233,0.000000070
31361,0.000000040
31489,0.000000050
31617,0.000000050
31745,0.000000040
31873,0.000000040
32001,0.000000050
32129,0.000000130
32257,0.000000040
32385,0.000000060
32513,0.000000050
32641,0.000000140
32769,0.000000050
32897,0.000000121
33025,0.000000050
33153,0.000000080
33281,0.000000040
33409,0.000000090
33537,0.000000030
33665,0.000000050
33793,0.000000030
33921,0.000000100
34049,0.000000050
34177,0.000000050
34305,0.000000040
34433,0.000000050
34561,0.000000090
34689,0.000000070
34817,0.000000040
34945,0.000000070
35073,0.000000040
35201,0.000000100
35329,0.000000050
35457,0.000000151
35585,0.000000070
35713,0.000000040
35841,0.000000080
35969,0.000000080
36097,0.000000060
36225,0.000000051
36353,0.000000040
36481,0.000000040
36609,0.000000050
36737,0.000000060
36865,0.000000050
36993,0.000000040
37121,0.000000070
37249,0.000000040
37377,0.000000070
37505,0.000000060
37633,0.000000060
37761,0.000000040
37889,0.000000040
38017,0.000000060
38145,0.000000131
38273,0.000000100
38401,0.000000050
38529,0.000000060
38657,0.000000050
38785,0.000000060
38913,0.000000100
39041,0.000000050
39169,0.000000110
39297,0.000000050
39425,0.000000040
39553,0.000000040
39681,0.000000040
39809,0.000000060
39937,0.000000040
40065,0.000000050
40193,0.000000120
40321,0.000000060
40449,0.000000060
40577,0.000000050
40705,0.000000061
40833,0.000000070
40961,0.000000060
41089,0.000000050
41217,0.000000231
41345,0.000000110
41473,0.000000040
41601,0.000000040
41729,0.000000050
41857,0.000000050
41985,0.000000060
42113,0.000000040
42241,0.000000090
42369,0.000000040
42497,0.000000070
42625,0.000000050
42753,0.000000060
42881,0.000000050
43009,0.000000060
43137,0.000000050
43265,0.000000140
43393,0.000000060
43521,0.000000060
43649,0.000000040
43777,0.000000120
43905,0.000000080
44033,0.000000120
44161,0.000000060
44289,0.000000110
44417,0.000000050
44545,0.000000050
44673,0.000000050
44801,0.000000050
44929,0.000000050
45057,0.000000050
45185,0.000000060
45313,0.000000050
45441,0.000000050
45569,0.000000060
45697,0.000000100
45825,0.000000130
45953,0.000000080
46081,0.000000051
46209,0.000000120
46337,0.000000090
46465,0.000000040
46593,0.000000050
46721,0.000000040
46849,0.000000060
46977,0.000000100
47105,0.000000110
47233,0.000000060
47361,0.000000040
47489,0.000000100
47617,0.000000071
47745,0.000000070
47873,0.000000060
48001,0.000000100
48129,0.000000050
48257,0.000000050
48385,0.000000060
48513,0.000000060
48641,0.000000107
48769,0.000000088
48897,0.000000088
49025,0.000000107
49153,0.000000107
49281,0.000000107
49409,0.000000117
49537,0.000000097
49665,0.000000107
49793,0.000000107
49921,0.000000097
50049,0.000000370
50177,0.000000108
50305,0.000000107
50433,0.000000127
50561,0.000000097
50689,0.000000107
50817,0.000000088
50945,0.000000107
51073,0.000000048
51201,0.000000068
51329,0.000000107
51457,0.000000039
51585,0.000000039
51713,0.000000039
51841,0.000000107
51969,0.000000107
52097,0.000000107
52225,0.000000166
52353,0.000000097
52481,0.000000059
